Rk,Player,G,Season,Age,Team,PLAY_G,PLAY_GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PLAY_PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
182,Patrick Beverley,8,2019-20,31,LAC,8,8,20.8,2.5,4.9,1.5,2.1,1.0,2.8,0.3,0.5,1.1,3.0,4.1,2.4,1.0,0.4,0.9,3.9,6.3,.513,.706,.364,.500,.613,.615,G,beverpa01
183,Patrick Beverley,17,2020-21,32,LAC,17,7,19.0,1.7,4.0,0.9,1.8,0.8,2.2,0.7,0.8,0.6,1.8,2.4,1.4,0.7,0.7,0.2,2.1,4.9,.426,.516,.351,.857,.560,.522,G,beverpa01
184,Patrick Beverley,6,2021-22,33,MIN,6,6,32.3,3.5,8.2,2.0,3.8,1.5,4.3,2.5,3.7,0.7,2.5,3.2,4.8,1.2,1.2,2.0,4.7,11.0,.429,.522,.346,.682,.562,.520,G,beverpa01
185,Mike Bibby,5,2011-12,33,NYK,5,1,23.6,1.8,4.6,0.4,1.2,1.4,3.4,0.4,0.6,0.6,3.6,4.2,2.6,0.2,0.0,0.8,1.4,5.4,.391,.333,.412,.667,.555,.543,G,bibbymi01
186,Chauncey Billups,6,2012-13,36,LAC,6,6,19.2,1.8,6.0,0.8,3.2,1.0,2.8,1.5,1.8,0.3,1.7,2.0,1.0,0.2,0.2,1.3,1.7,6.2,.306,.263,.353,.818,.453,.389,G,billuch01
187,Khem Birch,5,2018-19,26,ORL,5,0,18.4,2.0,3.6,2.0,3.6,0.0,0.0,1.2,1.4,1.8,4.4,6.2,0.8,0.2,1.0,1.2,1.6,5.2,.556,.556,,.857,.617,.556,C-F,birchkh01
188,Khem Birch,5,2019-20,27,ORL,5,0,17.8,1.4,2.8,1.4,2.8,0.0,0.0,2.0,2.2,1.8,3.2,5.0,1.4,0.2,0.0,1.0,2.2,4.8,.500,.500,,.909,.637,.500,C-F,birchkh01
189,Khem Birch,6,2021-22,29,TOR,6,4,10.5,1.3,2.7,1.0,2.0,0.3,0.7,0.0,0.0,0.7,0.8,1.5,0.5,0.2,0.2,0.5,2.2,3.0,.500,.500,.500,,.563,.563,C-F,birchkh01
190,Bismack Biyombo,20,2015-16,23,TOR,20,10,25.3,2.0,3.5,2.0,3.5,0.0,0.0,2.2,3.6,2.7,6.7,9.4,0.4,0.4,1.4,1.1,2.4,6.2,.580,.580,,.597,.611,.580,C-F,biyombi01
191,Bismack Biyombo,9,2021-22,29,PHO,9,0,9.6,1.2,1.9,1.2,1.9,0.0,0.0,0.3,0.7,0.9,1.2,2.1,0.6,0.1,0.2,0.7,1.4,2.8,.647,.647,,.500,.636,.647,C-F,biyombi01
192,Nemanja Bjelica,5,2017-18,29,MIN,5,0,9.4,1.4,3.2,0.6,1.8,0.8,1.4,1.0,1.4,0.8,2.2,3.0,0.6,0.6,0.0,0.2,1.2,4.6,.438,.333,.571,.714,.603,.563,F,bjeline01
193,Nemanja Bjelica,15,2021-22,33,GSW,15,0,10.0,1.2,2.3,1.0,1.7,0.2,0.5,0.3,0.5,0.4,1.7,2.1,1.1,0.3,0.1,0.5,1.4,2.9,.529,.577,.375,.571,.580,.574,F,bjeline01
194,Tarik Black,7,2017-18,26,HOU,7,0,2.7,0.1,0.6,0.1,0.6,0.0,0.0,0.0,0.0,0.3,0.6,0.9,0.3,0.0,0.1,0.1,0.7,0.3,.250,.250,,,.250,.250,C-F,blackta01
195,DeJuan Blair,10,2011-12,22,SAS,10,0,7.6,1.7,2.7,1.7,2.7,0.0,0.0,0.3,0.6,0.7,1.6,2.3,0.2,0.3,0.1,0.1,1.0,3.7,.630,.630,,.500,.624,.630,F-C,blairde01
196,DeJuan Blair,12,2012-13,23,SAS,12,0,6.3,1.8,2.8,1.8,2.8,0.0,0.0,0.4,0.8,0.5,1.5,2.0,0.6,0.4,0.1,0.1,1.2,3.9,.618,.618,,.556,.619,.618,F-C,blairde01
197,DeJuan Blair,6,2013-14,24,DAL,6,0,13.5,2.7,4.5,2.7,4.5,0.0,0.0,1.3,2.2,2.3,3.8,6.2,0.2,2.0,0.0,0.8,2.3,6.7,.593,.593,,.615,.611,.593,F-C,blairde01
198,Steve Blake,12,2011-12,31,LAL,12,0,25.5,2.2,5.2,0.7,1.6,1.5,3.6,0.4,0.6,0.7,2.2,2.8,2.3,0.7,0.2,1.3,1.8,6.3,.419,.421,.419,.714,.576,.565,G,blakest01
199,Steve Blake,6,2013-14,33,GSW,6,0,7.5,0.7,2.0,0.2,0.3,0.5,1.7,0.0,0.2,0.2,0.5,0.7,0.3,0.0,0.0,0.3,0.3,1.8,.333,.500,.300,.000,.442,.458,G,blakest01
200,Steve Blake,5,2014-15,34,POR,5,0,8.6,0.4,2.2,0.2,0.6,0.2,1.6,0.4,0.4,0.0,0.2,0.2,1.6,0.0,0.2,0.4,0.8,1.4,.182,.333,.125,1.000,.295,.227,G,blakest01
201,Steve Blake,4,2015-16,35,DET,4,0,10.8,0.3,1.3,0.0,0.8,0.3,0.5,0.3,0.5,0.0,1.0,1.0,2.5,0.0,0.0,1.3,1.8,1.0,.200,.000,.500,.500,.340,.300,G,blakest01
202,Andray Blatche,7,2012-13,26,BRK,7,0,19.7,4.1,8.3,4.1,8.3,0.0,0.0,2.0,2.4,1.4,3.4,4.9,1.3,0.3,0.4,0.7,2.0,10.3,.500,.500,,.824,.550,.500,F,blatcan01
203,Andray Blatche,12,2013-14,27,BRK,12,0,14.3,2.2,4.8,2.2,4.7,0.0,0.2,2.1,2.5,2.1,2.9,5.0,0.3,0.5,0.2,0.8,1.8,6.4,.448,.464,.000,.833,.541,.448,F,blatcan01
204,Eric Bledsoe,11,2011-12,22,LAC,11,0,17.2,3.4,5.7,3.1,5.1,0.3,0.6,0.9,1.5,1.1,1.3,2.4,2.1,1.2,0.4,1.4,2.1,7.9,.587,.607,.429,.625,.621,.611,G,bledser01
