Player,Age,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
Olivier Sarr,22-23,31,17.3,2.4,4.2,1.9,3.0,0.5,1.2,0.9,1.2,1.5,2.5,4.0,0.7,0.2,0.6,0.8,2.2,6.1,0.557,0.628,0.378,0.806,0.644,0.611,C
Dario Šarić,22-28,413,23.7,3.9,8.9,2.6,5.1,1.3,3.7,1.8,2.1,1.4,4.1,5.6,1.9,0.6,0.2,1.5,2.1,11.0,0.443,0.503,0.36,0.838,0.56,0.518,F-C
Larry Sanders,24-28,126,24.8,3.7,7.5,3.7,7.5,0.0,0.0,1.1,1.9,2.8,5.2,8.0,1.0,0.8,2.2,1.1,3.3,8.5,0.497,0.499,0.0,0.564,0.512,0.497,C-F
JaKarr Sampson,21-27,236,15.0,2.0,4.3,1.8,3.3,0.3,1.0,0.9,1.3,0.7,2.0,2.7,0.7,0.4,0.5,0.8,1.9,5.2,0.471,0.54,0.248,0.67,0.531,0.5,G-F
Luka Šamanić,20-23,43,12.0,1.8,4.1,1.3,2.2,0.5,1.9,0.7,1.1,0.4,2.1,2.5,0.8,0.3,0.3,0.7,1.5,4.8,0.438,0.573,0.28,0.609,0.522,0.503,F
John Salmons,33-35,175,24.4,2.3,6.1,1.4,3.5,1.0,2.6,0.7,0.9,0.3,1.9,2.2,2.2,0.6,0.3,0.8,1.7,6.4,0.382,0.389,0.373,0.765,0.487,0.461,G
Robert Sacre,23-26,189,14.5,1.7,3.9,1.7,3.9,0.0,0.0,0.8,1.2,1.1,2.0,3.1,0.7,0.3,0.6,0.5,1.8,4.2,0.436,0.437,0.0,0.671,0.475,0.436,C
Domantas Sabonis,20-26,494,29.4,5.9,10.7,5.5,9.4,0.4,1.3,2.9,4.0,2.4,7.3,9.7,4.2,0.8,0.5,2.4,3.1,15.1,0.548,0.579,0.326,0.731,0.605,0.568,C-F
D'Angelo Russell,19-26,495,29.9,6.4,15.0,3.9,8.1,2.5,6.9,2.4,3.1,0.5,3.0,3.5,5.7,1.1,0.3,2.8,1.9,17.7,0.426,0.48,0.362,0.788,0.541,0.509,G
Brandon Rush,27-31,192,14.6,1.2,3.1,0.5,1.3,0.7,1.8,0.2,0.3,0.2,1.7,1.9,0.7,0.3,0.3,0.5,0.8,3.3,0.38,0.395,0.369,0.631,0.497,0.487,G-F
