Player,Age,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
Jericho Sims,23-24,93,14.7,1.3,1.7,1.3,1.7,0.0,0.0,0.3,0.5,1.7,2.7,4.4,0.5,0.3,0.5,0.5,1.7,2.9,0.758,0.763,0.0,0.533,0.741,0.758,F
Henry Sims,22-25,135,18.8,3.0,6.3,3.0,6.2,0.0,0.2,1.6,2.1,1.8,3.1,5.0,1.0,0.6,0.5,1.1,2.1,7.6,0.471,0.479,0.174,0.767,0.525,0.473,C
Anfernee Simons,19-23,273,24.0,4.5,10.4,2.3,4.8,2.2,5.6,1.4,1.7,0.3,1.9,2.3,2.5,0.4,0.1,1.3,1.8,12.6,0.433,0.487,0.387,0.857,0.567,0.538,G
Kobi Simmons,20-25,38,17.7,2.1,5.1,1.8,4.0,0.3,1.2,0.7,0.7,0.4,1.0,1.4,1.9,0.5,0.2,1.2,1.6,5.3,0.415,0.457,0.273,1.0,0.486,0.446,G
Jonathon Simmons,26-29,258,20.5,3.0,6.9,2.5,5.1,0.6,1.8,1.6,2.2,0.5,1.9,2.4,1.9,0.6,0.2,1.3,2.0,8.3,0.443,0.487,0.317,0.756,0.53,0.484,G-F
Ben Simmons,21-26,317,32.9,6.0,10.8,6.0,10.7,0.0,0.1,2.6,4.5,1.8,6.0,7.8,7.5,1.6,0.7,3.2,2.9,14.7,0.56,0.565,0.139,0.591,0.578,0.561,G-F
Pascal Siakam,22-28,471,30.6,6.5,13.2,5.4,10.1,1.0,3.1,3.1,4.0,1.5,5.1,6.5,3.5,0.9,0.7,1.9,2.8,17.0,0.487,0.537,0.327,0.774,0.567,0.526,F
Alexey Shved,24-26,182,18.0,2.4,6.6,1.6,3.7,0.9,2.9,1.6,2.1,0.5,1.5,2.0,2.5,0.6,0.3,1.3,1.1,7.4,0.369,0.417,0.306,0.762,0.489,0.436,G
Iman Shumpert,22-30,402,24.3,2.5,6.5,1.4,3.2,1.1,3.2,0.7,1.0,0.7,2.7,3.4,1.7,1.0,0.3,1.0,2.2,6.9,0.389,0.437,0.341,0.754,0.498,0.474,G
Shaedon Sharpe,19,80,22.2,3.8,8.1,2.6,4.6,1.3,3.5,0.9,1.3,0.8,2.2,3.0,1.2,0.5,0.3,1.0,1.7,9.9,0.472,0.559,0.36,0.714,0.568,0.551,G
Landry Shamet,21-25,302,22.9,2.9,7.2,0.9,2.1,2.0,5.2,1.1,1.3,0.2,1.6,1.8,1.7,0.5,0.1,0.7,1.8,8.9,0.406,0.448,0.388,0.842,0.573,0.544,G
Collin Sexton,20-24,266,31.3,7.0,15.1,5.6,11.4,1.4,3.7,3.5,4.3,0.8,2.0,2.9,3.2,0.8,0.1,2.4,2.3,19.0,0.464,0.491,0.38,0.826,0.558,0.51,G
Ramon Sessions,26-31,368,21.5,3.1,7.5,2.7,6.1,0.4,1.3,3.0,3.8,0.4,1.9,2.3,3.3,0.6,0.1,1.4,1.2,9.7,0.419,0.443,0.31,0.795,0.529,0.447,G
Kevin Séraphin,23-27,308,15.0,2.8,5.8,2.8,5.8,0.0,0.0,0.6,0.8,1.0,2.3,3.3,0.7,0.2,0.6,1.1,2.1,6.2,0.484,0.485,0.0,0.728,0.503,0.484,F
Alperen Şengün,19-20,147,24.9,4.7,9.0,4.4,7.8,0.3,1.2,2.5,3.5,2.6,4.7,7.3,3.2,0.9,0.9,2.3,3.2,12.3,0.522,0.559,0.276,0.713,0.58,0.54,C-F
Wayne Selden,22-27,127,18.8,2.7,6.4,1.8,3.8,0.9,2.6,1.0,1.4,0.4,1.6,2.0,1.5,0.4,0.1,1.1,1.6,7.2,0.415,0.463,0.344,0.718,0.513,0.484,G-F
Thabo Sefolosha,28-35,460,21.7,2.3,5.0,1.5,2.9,0.8,2.1,0.7,1.0,0.7,3.1,3.8,1.3,1.2,0.4,0.8,1.5,6.1,0.459,0.526,0.364,0.733,0.558,0.534,G-F
Mike Scott,24-32,555,16.5,2.6,5.7,1.7,3.2,0.9,2.5,0.7,0.9,0.7,2.4,3.1,0.9,0.3,0.1,0.6,1.5,6.7,0.453,0.521,0.362,0.757,0.552,0.531,F
Luis Scola,32-36,357,20.6,3.7,8.0,3.5,7.3,0.3,0.7,1.5,2.0,1.4,4.0,5.5,1.3,0.6,0.3,1.2,2.4,9.2,0.466,0.476,0.358,0.735,0.517,0.482,F
Dennis Schröder,20-29,687,26.8,5.2,11.9,4.0,8.5,1.2,3.4,2.5,3.0,0.4,2.5,2.9,4.7,0.8,0.1,2.3,2.0,14.0,0.434,0.473,0.337,0.836,0.529,0.482,G
Tomáš Satoranský,25-30,388,22.2,2.6,5.5,2.0,3.8,0.6,1.7,1.1,1.4,0.8,2.1,2.9,4.1,0.8,0.2,1.3,1.7,6.9,0.468,0.52,0.354,0.82,0.564,0.523,G
