Rk,Player,From,To,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
795,B.J. Johnson,2018-19,2021-22,23-26,21,0,9.4,1.4,3.6,0.9,2.3,0.5,1.2,0.5,0.6,0.5,1.3,1.8,0.1,0.2,0.0,0.4,0.5,3.8,.387,.388,.385,.917,.492,.453,G,ATLORLSAC,johnsbj01
796,Amir Johnson,2012-13,2018-19,25-31,517,359,22.5,3.2,5.7,3.0,5.1,0.2,0.6,1.0,1.6,2.0,3.7,5.6,1.6,0.7,0.9,1.2,2.9,7.6,.562,.589,.337,.651,.597,.580,F-C,BOSPHITOR,johnsam01
797,Alize Johnson,2018-19,2022-23,22-26,76,1,7.5,1.0,2.1,0.9,1.8,0.1,0.3,0.4,0.6,1.0,2.0,3.0,0.4,0.2,0.1,0.4,0.7,2.5,.481,.522,.227,.711,.531,.497,F,BRKCHIINDNOPSASWAS,johnsal02
798,Isaiah Joe,2020-21,2022-23,21-23,169,12,14.1,2.0,4.8,0.5,1.1,1.4,3.8,0.8,0.9,0.2,1.3,1.6,0.8,0.4,0.1,0.4,1.1,6.2,.408,.486,.386,.832,.588,.558,G,OKCPHI,joeis01
799,Grant Jerrett,2014-15,2014-15,21,8,0,6.4,0.9,3.3,0.8,1.4,0.1,1.9,0.1,0.1,0.3,0.9,1.1,0.4,0.3,0.3,0.4,1.4,2.0,.269,.545,.067,1.000,.303,.288,F,OKCUTA,jerregr01
800,Ty Jerome,2019-20,2022-23,22-25,157,7,17.4,2.6,6.2,1.5,3.0,1.1,3.1,0.7,0.9,0.3,1.6,1.9,2.6,0.6,0.1,0.8,1.4,7.0,.421,.492,.352,.826,.536,.510,G,GSWOKCPHO,jeromty01
801,Jonas Jerebko,2012-13,2018-19,25-31,491,33,15.5,2.0,4.4,1.3,2.6,0.7,1.8,0.7,0.9,1.0,2.6,3.5,0.9,0.4,0.2,0.6,1.7,5.3,.449,.498,.377,.783,.557,.526,F,BOSDETGSWUTA,jerebjo01
802,Brandon Jennings,2012-13,2017-18,23-28,344,220,28.1,4.3,11.2,2.7,6.6,1.6,4.6,2.2,2.9,0.5,2.1,2.7,5.8,1.1,0.1,2.1,1.6,12.4,.383,.409,.345,.784,.498,.454,G,DETMILNYKORLWAS,jennibr01
803,John Jenkins,2012-13,2018-19,21-27,171,8,12.8,1.8,4.1,1.1,2.3,0.7,1.9,0.7,0.8,0.2,1.3,1.5,0.8,0.2,0.1,0.6,0.6,5.0,.441,.503,.367,.847,.559,.524,G,ATLDALNYKPHOWAS,jenkijo01
804,Charles Jenkins,2012-13,2012-13,23,59,1,7.5,0.8,2.1,0.8,2.0,0.0,0.0,0.2,0.4,0.1,0.4,0.5,0.7,0.3,0.0,0.4,0.4,1.9,.405,.403,.500,.545,.425,.409,G,GSWPHI,jenkich01
805,Jared Jeffries,2012-13,2012-13,31,38,0,9.2,0.4,1.4,0.4,1.4,0.0,0.1,0.3,0.6,0.7,0.9,1.6,0.4,0.2,0.2,0.4,1.5,1.2,.296,.308,.000,.522,.343,.296,F,POR,jeffrja01
806,DaQuan Jeffries,2019-20,2021-22,22-24,47,5,13.7,1.5,3.4,1.0,1.6,0.5,1.8,0.3,0.3,0.5,1.5,1.9,0.6,0.4,0.2,0.3,1.4,3.8,.438,.605,.291,.857,.532,.515,G-F,HOUMEMSAC,jeffrda01
807,Richard Jefferson,2012-13,2017-18,32-37,385,115,18.5,2.1,4.7,1.2,2.4,0.9,2.3,1.0,1.4,0.2,1.9,2.2,1.0,0.4,0.1,0.7,1.6,6.0,.450,.511,.384,.712,.573,.543,F,CLEDALDENGSWUTA,jefferi01
808,Cory Jefferson,2014-15,2015-16,24-25,58,1,10.0,1.4,3.3,1.4,3.0,0.0,0.3,0.6,1.0,0.9,1.9,2.8,0.3,0.2,0.4,0.3,1.2,3.5,.444,.474,.125,.583,.476,.450,F,BRKPHO,jeffeco01
809,Amile Jefferson,2018-19,2019-20,25-26,30,0,4.7,0.5,1.0,0.5,1.0,0.0,0.0,0.4,0.7,0.5,0.9,1.5,0.2,0.1,0.2,0.1,0.5,1.4,.500,.500,,.545,.529,.500,F,ORL,jeffeam01
810,Al Jefferson,2012-13,2017-18,28-33,365,232,26.4,6.5,13.2,6.5,13.1,0.0,0.1,1.7,2.4,1.6,6.1,7.6,1.6,0.7,0.9,1.1,2.2,14.8,.497,.500,.171,.710,.521,.498,C-F,CHACHOINDUTA,jeffeal01
