Rk,Player,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,From,To,Age,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
757,Perry Jones,3.3,13.1,4.7,1.1,1.6,10.6,14.9,2012-13,2014-15,21-23,143,21,4.2,10.0,3.4,7.3,0.8,2.6,1.3,2.0,1.0,4.4,5.4,1.2,0.8,0.7,1.3,2.9,10.5,.420,.466,.293,.660,.483,.459,F,OKC,jonespe01
758,Mason Jones,2.2,16.4,17.9,1.1,0.2,14.8,22.4,2020-21,2021-22,22-23,36,1,5.5,12.9,3.2,6.4,2.3,6.5,4.9,7.4,0.7,5.3,6.1,4.3,0.8,0.1,2.8,3.0,18.2,.428,.500,.357,.658,.564,.518,G,HOULALPHI,jonesma05
759,Kevin Jones,12.6,14.5,4.8,1.4,1.2,6.6,16.2,2012-13,2012-13,23,32,0,4.6,11.5,4.6,11.5,0.0,0.0,1.0,1.6,4.1,4.3,8.4,1.1,1.0,0.5,0.9,2.7,10.2,.402,.402,,.600,.418,.402,F,CLE,joneske01
760,Kai Jones,6.8,16.7,4.2,1.4,4.5,19.9,12.8,2021-22,2022-23,21-22,67,0,4.5,7.9,4.2,6.6,0.3,1.2,1.3,2.0,2.3,5.5,7.9,1.1,1.1,1.9,2.2,4.3,10.5,.567,.628,.238,.647,.601,.586,F-C,CHO,joneska01
761,Jemerrio Jones,12.0,21.8,10.3,2.4,2.6,11.9,11.0,2018-19,2021-22,23-26,8,2,3.2,8.2,2.7,5.9,0.5,2.3,0.2,0.5,4.1,7.7,11.8,3.0,1.8,1.1,1.1,2.7,7.1,.389,.462,.200,.500,.420,.417,F,LAL,jonesje01
762,James Jones,1.3,9.9,5.5,0.9,1.6,6.6,15.2,2012-13,2016-17,32-36,211,10,4.2,10.3,0.9,2.0,3.3,8.3,1.5,2.0,0.4,3.1,3.5,1.4,0.6,0.7,0.8,3.2,13.1,.404,.438,.396,.766,.587,.563,F-G,CLEMIA,jonesja02
763,Jalen Jones,6.5,14.0,4.2,1.8,0.7,9.1,18.6,2017-18,2018-19,24-25,32,0,4.7,11.8,2.9,6.9,1.8,4.9,2.8,4.2,2.2,4.4,6.6,1.0,1.3,0.3,1.4,4.5,14.1,.400,.421,.370,.674,.516,.477,G,CLEDALNOP,jonesja04
764,Herbert Jones,5.0,9.8,10.5,2.7,2.3,13.4,14.1,2021-22,2022-23,23-24,144,135,4.3,9.0,3.3,6.2,0.9,2.8,2.2,2.7,1.6,3.1,4.7,2.8,2.0,0.9,1.6,3.7,11.7,.473,.534,.336,.802,.570,.525,F,NOP,joneshe01
765,Dominique Jones,6.0,8.7,36.2,2.1,0.5,22.3,23.0,2012-13,2012-13,24,29,3,4.3,11.6,4.2,10.7,0.1,1.0,3.7,5.6,1.9,2.9,4.8,8.8,1.5,0.2,4.0,3.1,12.4,.367,.390,.111,.660,.438,.372,G,DAL,jonesdo02
766,Derrick Jones Jr.,7.2,11.9,5.0,1.6,3.3,9.0,13.5,2016-17,2022-23,19-25,344,97,4.5,8.8,3.6,5.9,0.9,3.0,2.2,3.1,2.3,3.9,6.3,1.3,1.2,1.3,1.0,3.7,12.1,.508,.610,.304,.705,.591,.559,F,CHIMIAPHOPOR,jonesde02
767,DeQuan Jones,2.4,12.4,3.0,1.2,2.1,11.1,15.3,2012-13,2012-13,22,63,17,4.3,9.8,3.9,8.2,0.4,1.6,1.5,2.3,0.8,3.9,4.7,0.7,0.9,1.0,1.3,2.5,10.4,.436,.470,.257,.667,.485,.456,F,ORL,jonesde01
768,Damian Jones,8.5,16.5,7.1,1.2,4.1,15.2,12.9,2016-17,2022-23,21-27,240,75,5.1,7.6,4.8,7.0,0.2,0.6,2.6,3.6,2.8,5.5,8.3,1.8,0.9,1.7,1.7,5.2,12.9,.662,.686,.383,.706,.699,.677,F-C,ATLGSWLALPHOSACUTA,jonesda03
769,Dahntay Jones,2.6,8.5,6.3,1.1,0.5,11.1,13.8,2012-13,2016-17,32-36,113,19,2.9,8.0,2.6,6.3,0.4,1.7,3.0,3.9,0.8,2.8,3.6,1.6,0.8,0.2,1.2,4.5,9.2,.366,.409,.211,.773,.475,.389,G-F,ATLCLEDALLAC,jonesda02
770,Carlik Jones,2.9,8.5,17.6,1.9,0.0,15.0,18.8,2021-22,2022-23,24-25,12,0,3.2,10.9,1.8,7.7,1.4,3.2,3.2,4.6,0.9,2.7,3.6,5.0,1.4,0.0,2.3,0.9,10.9,.292,.235,.429,.700,.423,.354,G,CHIDALDEN,jonesca03
771,Nikola Jokić,9.6,28.5,35.5,1.9,2.0,15.2,26.6,2015-16,2022-23,20-27,596,555,9.1,16.4,7.9,13.1,1.2,3.3,4.3,5.2,3.1,9.3,12.3,7.8,1.4,0.8,3.4,3.2,23.7,.553,.605,.348,.829,.632,.589,C-F,DEN,jokicni01
772,Darius Johnson-Odom,5.4,26.0,12.3,2.3,0.0,14.4,28.4,2012-13,2013-14,23-24,7,0,0.0,18.9,0.0,12.0,0.0,6.9,0.0,3.4,1.7,8.6,10.3,3.4,1.7,0.0,3.4,5.1,0.0,.000,.000,.000,.000,.000,.000,G,LALPHI,johnsda03
773,Wesley Johnson,2.9,13.7,6.6,1.9,2.4,10.6,15.5,2012-13,2018-19,25-31,465,207,4.3,10.7,2.7,5.7,1.7,4.9,1.0,1.3,0.9,4.5,5.5,1.6,1.4,1.1,1.3,3.2,11.4,.407,.468,.336,.755,.504,.485,F-G,LACLALNOPPHOWAS,johnswe01
774,Tyler Johnson,2.4,11.2,14.0,1.7,1.3,10.4,18.3,2014-15,2021-22,22-29,354,78,5.2,12.1,3.3,7.1,1.8,5.0,2.2,2.9,0.8,3.6,4.4,3.4,1.2,0.6,1.5,2.6,14.3,.426,.473,.360,.779,.537,.501,G,BRKMIAPHIPHOSAS,johnsty01
775,Stanley Johnson,3.0,14.5,10.8,2.1,1.0,14.3,16.4,2015-16,2022-23,19-26,449,104,4.2,10.7,2.8,6.1,1.4,4.5,1.7,2.2,1.0,4.7,5.7,2.8,1.6,0.4,1.9,3.5,11.4,.391,.454,.305,.748,.489,.456,F,DETLALNOPSASTOR,johnsst04
776,Orlando Johnson,3.4,14.4,9.9,0.9,1.0,11.9,16.5,2012-13,2015-16,23-26,103,1,3.8,10.6,2.3,5.7,1.5,4.9,1.6,2.1,1.1,4.8,5.8,2.2,0.6,0.5,1.6,2.8,10.7,.358,.398,.311,.727,.462,.430,G,INDNOPPHOSAC,johnsor01
777,Omari Johnson,6.0,11.1,14.5,1.3,0.0,12.5,14.4,2017-18,2017-18,28,4,0,4.3,10.1,2.4,4.3,1.9,5.8,0.0,0.0,1.9,3.4,5.3,3.4,1.0,0.0,1.4,2.9,10.6,.429,.556,.333,,.524,.524,F,MEM,johnsom01
778,Nick Johnson,5.5,10.9,6.3,1.3,0.9,18.1,17.4,2014-15,2014-15,22,28,0,3.6,10.3,2.9,7.4,0.7,2.9,2.3,3.4,1.8,3.6,5.4,1.5,1.0,0.4,2.6,4.7,10.2,.347,.389,.238,.680,.430,.380,G,HOU,johnsni01
779,Keon Johnson,3.4,9.1,18.0,2.1,1.5,15.4,22.6,2021-22,2022-23,19-20,77,12,5.3,14.6,3.3,8.7,2.0,5.9,2.2,3.0,1.1,2.9,4.0,4.4,1.5,0.6,2.9,3.6,14.7,.362,.375,.343,.739,.465,.431,G,LACPOR,johnske07
780,Keldon Johnson,3.7,16.3,10.5,1.1,0.6,8.8,22.5,2019-20,2022-23,20-23,224,205,7.3,15.6,5.3,10.2,2.0,5.4,3.2,4.3,1.3,5.4,6.7,2.6,0.8,0.3,1.7,2.4,19.8,.468,.523,.363,.752,.565,.531,G,SAS,johnske04
781,Joe Johnson,2.1,11.0,15.6,1.0,0.4,11.0,19.9,2012-13,2021-22,31-40,446,330,5.6,12.9,3.8,8.1,1.8,4.8,1.7,2.1,0.7,3.5,4.1,3.4,0.7,0.2,1.7,1.7,14.8,.435,.470,.376,.820,.534,.506,G-F,BOSBRKHOUMIAUTA,johnsjo02
782,James Johnson,4.2,15.3,16.5,1.8,3.3,15.8,18.4,2012-13,2022-23,25-35,600,167,5.5,11.4,4.5,8.1,1.0,3.3,1.9,2.8,1.3,4.9,6.3,3.9,1.3,1.4,2.4,3.9,13.8,.480,.552,.301,.672,.547,.523,F,BRKDALINDMEMMIAMINNOPSACTOR,johnsja01
783,Jalen Johnson,4.9,24.3,9.7,1.7,2.7,11.1,16.4,2021-22,2022-23,20-21,92,6,5.6,11.2,4.6,7.6,1.0,3.6,1.7,2.6,1.6,7.9,9.5,2.7,1.3,1.1,1.5,3.8,13.8,.496,.598,.282,.635,.558,.541,F,ATL,johnsja05
784,Ivan Johnson,8.5,20.7,7.4,2.8,1.0,14.7,21.7,2012-13,2012-13,28,69,5,6.4,12.4,6.4,11.9,0.0,0.5,2.8,4.6,2.6,6.6,9.3,1.6,1.9,0.5,2.5,4.6,15.7,.520,.536,.077,.618,.546,.521,F,ATL,johnsiv01
785,David Johnson,0.0,0.0,0.0,0.0,0.0,0.0,21.4,2021-22,2021-22,20,2,0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.000,,.000,,.000,.000,G,TOR,johnsda08
786,Dakari Johnson,10.7,12.8,7.2,1.8,4.5,5.9,13.5,2017-18,2017-18,22,31,6,4.9,8.7,4.9,8.7,0.0,0.0,2.5,4.5,3.6,4.0,7.6,1.8,1.3,1.8,0.7,6.0,12.3,.564,.564,,.550,.575,.564,C,OKC,johnsda04
787,Chris Johnson,7.8,16.6,4.9,1.3,7.6,12.6,16.2,2012-13,2012-13,27,30,0,6.1,9.5,6.1,9.5,0.0,0.0,2.7,4.3,2.5,5.1,7.6,1.0,0.9,3.5,1.6,6.2,14.8,.640,.640,,.618,.650,.640,C,MIN,johnsch03
788,Chris Johnson,3.5,11.4,6.3,2.0,1.1,11.2,14.1,2012-13,2015-16,22-25,147,4,3.6,9.3,2.0,3.9,1.6,5.4,1.4,1.6,1.1,3.5,4.7,1.5,1.4,0.5,1.3,3.4,10.3,.392,.508,.307,.835,.514,.480,F-G,BOSMEMMILPHIUTA,johnsch04
789,Cameron Johnson,3.1,13.3,8.2,1.6,1.0,6.8,17.6,2019-20,2022-23,23-26,225,77,5.6,12.6,2.5,4.6,3.2,8.0,1.9,2.2,1.0,4.4,5.4,2.1,1.2,0.4,1.0,2.4,16.3,.447,.543,.393,.843,.600,.572,F,BRKPHO,johnsca02
790,Brice Johnson,10.6,25.4,4.7,5.1,5.8,10.5,23.7,2016-17,2017-18,22-23,21,0,7.4,16.5,7.4,16.1,0.0,0.3,1.0,1.7,3.4,8.1,11.4,1.0,3.7,2.4,2.0,4.4,15.8,.449,.458,.000,.600,.459,.449,F,LACMEM,johnsbr02
791,B.J. Johnson,5.8,14.9,2.1,1.2,0.5,9.1,19.1,2018-19,2021-22,23-26,21,0,5.3,13.7,3.5,9.0,1.8,4.8,2.0,2.2,2.0,4.9,6.9,0.5,0.9,0.2,1.5,2.0,14.4,.387,.388,.385,.917,.492,.453,G,ATLORLSAC,johnsbj01
792,Amir Johnson,9.9,18.4,10.7,1.5,3.2,15.8,15.1,2012-13,2018-19,25-31,517,359,5.1,9.1,4.8,8.2,0.3,0.9,1.6,2.5,3.2,5.9,9.0,2.5,1.1,1.4,1.9,4.7,12.2,.562,.589,.337,.651,.597,.580,F-C,BOSPHITOR,johnsam01
793,Alize Johnson,15.3,28.7,7.7,1.3,1.6,15.3,16.1,2018-19,2022-23,22-26,76,1,4.8,10.0,4.5,8.6,0.3,1.4,2.0,2.9,4.9,9.6,14.5,2.0,1.0,0.6,2.0,3.5,12.0,.481,.522,.227,.711,.531,.497,F,BRKCHIINDNOPSASWAS,johnsal02
794,Isaiah Joe,1.8,10.4,8.3,1.5,0.6,7.2,17.1,2020-21,2022-23,21-23,169,12,5.0,12.3,1.3,2.8,3.7,9.6,1.9,2.3,0.6,3.4,4.0,2.2,1.1,0.2,1.0,2.8,15.7,.408,.486,.386,.832,.588,.558,G,OKCPHI,joeis01
795,Grant Jerrett,4.4,15.2,9.6,2.1,3.1,10.2,25.4,2014-15,2014-15,21,8,0,4.9,18.4,4.2,7.8,0.7,10.6,0.7,0.7,1.4,4.9,6.4,2.1,1.4,1.4,2.1,7.8,11.3,.269,.545,.067,1.000,.303,.288,F,OKCUTA,jerregr01
796,Ty Jerome,1.6,9.8,21.9,1.5,0.6,11.4,18.1,2019-20,2022-23,22-25,157,7,5.4,12.8,3.1,6.3,2.3,6.5,1.5,1.8,0.6,3.3,3.9,5.4,1.2,0.3,1.7,3.0,14.5,.421,.492,.352,.826,.536,.510,G,GSWOKCPHO,jeromty01
797,Jonas Jerebko,6.8,18.3,8.1,1.3,1.1,11.0,15.2,2012-13,2018-19,25-31,491,33,4.5,10.1,3.0,6.0,1.6,4.2,1.7,2.2,2.2,6.0,8.2,2.0,0.9,0.5,1.4,3.9,12.4,.449,.498,.377,.783,.557,.526,F,BOSDETGSWUTA,jerebjo01
798,Brandon Jennings,2.1,8.5,32.2,2.0,0.3,14.3,22.4,2012-13,2017-18,23-28,344,220,5.5,14.3,3.5,8.4,2.0,5.8,2.9,3.7,0.7,2.7,3.4,7.5,1.4,0.1,2.6,2.1,15.8,.383,.409,.345,.784,.498,.454,G,DETMILNYKORLWAS,jennibr01
799,John Jenkins,1.9,10.9,9.9,0.7,0.5,11.0,17.8,2012-13,2018-19,21-27,171,8,5.1,11.6,3.2,6.4,1.9,5.3,1.9,2.3,0.6,3.5,4.1,2.3,0.5,0.2,1.6,1.6,14.1,.441,.503,.367,.847,.559,.524,G,ATLDALNYKPHOWAS,jenkijo01
800,Charles Jenkins,2.0,6.0,14.8,1.8,0.4,13.8,15.5,2012-13,2012-13,23,59,1,4.0,9.9,3.9,9.7,0.1,0.2,1.0,1.8,0.7,2.0,2.6,3.6,1.2,0.2,1.7,1.8,9.1,.405,.403,.500,.545,.425,.409,G,GSWPHI,jenkich01
801,Jared Jeffries,8.5,11.4,5.6,0.9,1.3,21.0,10.6,2012-13,2012-13,31,38,0,1.6,5.6,1.6,5.3,0.0,0.2,1.2,2.4,2.7,3.5,6.2,1.4,0.6,0.6,1.7,6.0,4.5,.296,.308,.000,.522,.343,.296,F,POR,jeffrja01
802,DaQuan Jeffries,3.6,12.1,6.4,1.4,1.5,8.7,12.3,2019-20,2021-22,22-24,47,5,4.0,9.1,2.6,4.3,1.4,4.8,0.7,0.8,1.2,3.9,5.1,1.7,1.1,0.6,0.9,3.8,10.0,.438,.605,.291,.857,.532,.515,G-F,HOUMEMSAC,jeffrda01
803,Richard Jefferson,1.5,11.6,7.8,1.2,0.6,11.7,14.5,2012-13,2017-18,32-37,385,115,4.1,9.1,2.4,4.7,1.7,4.4,1.9,2.7,0.5,3.7,4.2,1.9,0.8,0.3,1.4,3.1,11.8,.450,.511,.384,.712,.573,.543,F,CLEDALDENGSWUTA,jefferi01
804,Cory Jefferson,10.2,20.8,4.4,0.9,3.0,8.5,18.4,2014-15,2015-16,24-25,58,1,5.2,11.7,5.1,10.7,0.1,1.0,2.2,3.7,3.3,6.7,10.0,1.0,0.6,1.4,1.2,4.3,12.7,.444,.474,.125,.583,.476,.450,F,BRKPHO,jeffeco01
805,Amile Jefferson,11.8,21.7,6.8,1.4,3.7,9.2,13.3,2018-19,2019-20,25-26,30,0,3.8,7.6,3.8,7.6,0.0,0.0,3.0,5.6,4.1,7.1,11.2,1.8,1.0,1.5,1.0,3.8,10.6,.500,.500,,.545,.529,.500,F,ORL,jeffeam01
806,Al Jefferson,6.7,26.1,11.9,1.4,2.8,6.9,26.4,2012-13,2017-18,28-33,365,232,8.9,18.0,8.9,17.8,0.0,0.2,2.4,3.3,2.1,8.3,10.4,2.2,1.0,1.2,1.4,3.0,20.2,.497,.500,.171,.710,.521,.498,C-F,CHACHOINDUTA,jeffeal01
807,Othyus Jeffers,2.5,18.7,2.8,0.0,0.0,11.4,8.3,2013-14,2013-14,28,6,1,2.3,4.6,2.3,3.1,0.0,1.5,2.3,3.1,0.8,6.1,6.9,0.8,0.0,0.0,0.8,2.3,6.9,.500,.750,.000,.750,.580,.500,G,MINSAS,jeffeot01
808,Antawn Jamison,7.1,17.0,4.9,1.0,1.0,7.5,18.8,2012-13,2013-14,36-37,98,6,5.7,12.7,3.9,7.5,1.8,5.2,2.1,3.1,2.3,5.7,8.0,1.1,0.7,0.5,1.1,2.9,15.2,.444,.519,.336,.696,.539,.513,F,LACLAL,jamisan01
809,Mike James,1.1,8.2,24.6,1.5,0.3,16.4,17.8,2012-13,2013-14,37-38,56,23,4.1,11.2,2.2,6.2,1.9,5.0,0.9,1.2,0.3,2.7,3.0,6.0,1.1,0.1,2.3,4.1,10.9,.363,.352,.377,.742,.465,.447,G,CHIDAL,jamesmi01
810,Mike James,1.9,12.4,29.7,1.8,0.7,13.0,24.6,2017-18,2020-21,27-30,49,11,6.1,16.1,4.7,11.1,1.4,5.0,3.3,4.3,0.6,4.1,4.8,7.0,1.3,0.3,2.7,2.3,17.0,.380,.423,.287,.766,.472,.425,G,BRKNOPPHO,jamesmi02
811,LeBron James,3.6,20.4,38.5,1.9,1.6,14.2,31.4,2012-13,2022-23,28-38,732,731,10.0,18.9,8.1,13.8,1.8,5.1,4.8,6.7,1.1,6.6,7.7,7.7,1.3,0.7,3.6,1.7,26.5,.526,.590,.355,.721,.607,.574,F-G,CLELALMIA,jamesle01
812,Justin James,3.0,9.9,10.4,1.2,2.1,9.5,19.4,2019-20,2020-21,23-24,72,0,5.8,13.0,4.3,8.5,1.5,4.5,2.1,3.8,1.0,3.1,4.1,2.7,0.9,0.8,1.5,2.7,15.1,.446,.500,.343,.544,.518,.505,G,SAC,jamesju01
813,Damion James,2.4,23.8,7.5,0.0,1.4,9.2,9.8,2012-13,2013-14,25-26,7,1,1.4,6.5,1.4,5.0,0.0,1.4,1.4,1.4,0.7,8.6,9.4,2.2,0.0,0.7,0.7,2.2,4.3,.222,.286,.000,1.000,.304,.222,G-F,BRKSAS,jamesda01
814,Bernard James,12.6,18.5,2.4,1.1,6.4,15.5,13.1,2012-13,2014-15,27-29,92,13,3.6,7.2,3.6,7.1,0.0,0.1,2.4,3.5,4.0,6.0,10.0,0.6,0.8,2.9,1.6,5.0,9.6,.497,.507,.000,.680,.546,.497,C,DAL,jamesbe01
815,Stephen Jackson,2.5,13.0,10.3,1.8,0.9,17.6,18.3,2012-13,2013-14,34-35,64,6,3.9,10.8,2.5,5.2,1.4,5.6,1.6,2.3,0.7,4.3,5.0,2.6,1.3,0.5,2.5,3.0,10.8,.362,.477,.255,.689,.458,.428,F-G,LACSAS,jacksst02
816,Reggie Jackson,2.2,10.5,27.0,1.3,0.4,13.1,24.5,2012-13,2022-23,22-32,726,506,6.8,16.1,4.9,10.5,1.9,5.6,2.7,3.2,0.7,3.4,4.2,6.0,1.0,0.2,2.6,2.7,18.3,.425,.466,.347,.857,.524,.485,G,DENDETLACOKC,jacksre01
817,Quenton Jackson,1.7,4.8,15.1,1.4,0.6,7.2,17.9,2022-23,2022-23,24,9,0,5.1,11.2,4.8,8.0,0.3,3.2,4.5,5.9,0.5,1.6,2.1,4.0,1.1,0.3,1.1,2.7,14.9,.452,.600,.083,.773,.542,.464,G,WAS,jacksqu01
818,Pierre Jackson,1.3,11.6,38.0,1.2,0.0,6.7,25.3,2016-17,2016-17,25,8,1,5.6,16.7,4.3,12.0,1.3,4.7,2.6,3.0,0.4,3.4,3.9,8.1,0.9,0.0,1.3,2.1,15.0,.333,.357,.273,.857,.416,.372,G,DAL,jackspi01
819,Justin Jackson,2.5,12.0,8.3,0.9,0.8,6.9,15.1,2017-18,2022-23,22-27,278,61,4.7,11.1,3.0,5.7,1.7,5.4,1.2,1.5,0.9,4.0,4.8,2.1,0.7,0.3,0.9,2.1,12.3,.423,.523,.319,.796,.524,.501,G-F,BOSDALMILOKCPHOSAC,jacksju01
820,Josh Jackson,4.0,15.0,12.6,1.8,2.1,13.9,24.5,2017-18,2021-22,20-24,291,92,6.5,15.7,5.1,10.9,1.4,4.8,3.0,4.5,1.3,4.9,6.2,2.9,1.3,0.9,2.9,3.9,17.6,.416,.471,.292,.680,.495,.461,F-G,DETMEMPHOSAC,jacksjo02
821,Jaren Jackson Jr.,5.4,16.2,6.2,1.6,6.9,10.6,24.4,2018-19,2022-23,19-23,267,258,7.6,16.4,5.5,10.2,2.2,6.2,4.2,5.3,1.8,5.4,7.3,1.5,1.2,2.7,2.2,4.9,21.6,.466,.535,.352,.790,.578,.532,F,MEM,jacksja02
822,Isaiah Jackson,12.1,18.2,5.6,1.7,7.9,12.7,19.2,2021-22,2022-23,20-21,99,27,6.7,11.9,6.5,11.2,0.2,0.7,3.5,5.3,3.9,5.9,9.8,1.4,1.3,3.3,2.1,5.6,17.1,.563,.583,.233,.662,.600,.570,C-F,IND,jacksis01
823,Frank Jackson,2.2,8.6,8.4,1.0,0.4,9.0,20.3,2018-19,2022-23,20-24,214,31,6.1,14.5,3.8,7.6,2.3,6.9,2.4,3.0,0.8,2.9,3.6,2.1,0.8,0.1,1.6,2.9,16.9,.421,.502,.332,.786,.534,.501,G,DETNOPUTA,jacksfr01
824,Demetrius Jackson,7.4,8.1,18.5,2.5,0.6,20.6,17.0,2016-17,2018-19,22-24,26,0,4.8,9.8,3.7,6.1,1.1,3.7,2.1,3.2,2.4,2.6,5.0,4.5,1.9,0.3,2.9,2.9,12.7,.486,.609,.286,.667,.568,.541,G,BOSHOUPHI,jacksde01
825,Aaron Jackson,6.5,3.2,4.0,0.0,0.0,9.2,13.7,2017-18,2017-18,31,1,0,3.1,9.3,2.1,5.1,1.0,4.1,1.0,2.1,2.1,1.0,3.1,1.0,0.0,0.0,1.0,4.1,8.2,.333,.400,.250,.500,.405,.389,G,HOU,jacksaa01
826,Jarrett Jack,1.1,11.1,28.3,1.4,0.5,16.5,19.9,2012-13,2017-18,29-34,335,150,5.2,12.1,4.3,9.3,0.9,2.8,2.5,2.9,0.4,3.6,4.0,6.6,1.0,0.2,2.6,2.2,13.8,.429,.458,.332,.861,.516,.467,G,BRKCLEGSWNOPNYK,jackja01
827,Wes Iwundu,3.2,12.6,7.4,1.3,1.1,11.0,12.4,2017-18,2021-22,23-27,226,51,3.2,7.9,2.5,5.6,0.7,2.4,2.1,2.7,1.1,4.1,5.2,2.0,1.0,0.5,1.1,3.2,9.3,.408,.458,.292,.798,.510,.452,F,ATLDALNOPORL,iwundwe01
828,Royal Ivey,2.5,6.9,6.6,1.7,0.3,11.6,11.3,2012-13,2013-14,31-32,55,5,3.2,7.5,1.3,2.9,1.9,4.6,0.5,0.8,0.8,2.2,3.0,1.6,1.2,0.2,1.0,3.8,8.7,.425,.439,.416,.563,.555,.551,G,OKCPHI,iveyro01
829,Jaden Ivey,3.4,10.7,26.2,1.3,0.7,17.2,25.4,2022-23,2022-23,20,74,73,6.4,15.4,4.5,9.9,1.9,5.5,4.2,5.6,1.1,3.4,4.5,6.0,1.0,0.3,3.7,3.8,18.8,.416,.457,.343,.747,.528,.477,G,DET,iveyja01
830,Jonathan Isaac,5.5,18.1,6.1,2.1,5.0,11.0,16.8,2017-18,2022-23,20-25,147,106,4.9,11.3,3.5,7.1,1.4,4.2,1.9,2.4,1.9,5.9,7.8,1.5,1.6,2.1,1.5,2.8,13.1,.434,.493,.333,.789,.530,.495,F,ORL,isaacjo01
831,Kyrie Irving,2.6,10.1,29.4,1.9,1.0,11.0,29.4,2012-13,2022-23,20-30,620,620,9.1,19.3,6.6,12.9,2.5,6.4,4.1,4.6,0.8,3.3,4.1,6.0,1.4,0.4,2.6,2.4,24.7,.472,.513,.391,.885,.582,.537,G,BOSBRKCLEDAL,irvinky01
832,Brandon Ingram,2.4,14.7,19.4,1.0,1.5,12.7,25.2,2016-17,2022-23,19-25,413,374,7.6,16.4,6.1,12.3,1.5,4.1,4.3,5.5,0.8,4.9,5.7,4.4,0.8,0.6,2.7,2.7,20.9,.464,.497,.364,.784,.558,.509,F,LALNOP,ingrabr01
833,Andre Ingram,2.7,8.0,12.4,2.4,3.1,14.1,15.1,2017-18,2018-19,32-33,6,0,3.6,10.5,1.4,5.0,2.3,5.5,1.4,1.4,0.9,2.7,3.6,3.2,1.8,1.4,1.8,1.4,10.9,.348,.273,.417,1.000,.493,.457,G,LAL,ingraan01
834,Damien Inglis,1.5,21.1,9.0,2.0,1.6,21.4,14.9,2015-16,2015-16,20,20,1,3.0,8.5,2.3,5.5,0.7,3.0,1.6,1.8,0.5,6.7,7.2,2.3,1.4,0.7,2.5,2.5,8.3,.351,.417,.231,.875,.444,.392,F,MIL,inglida01
835,Joe Ingles,1.4,12.3,21.0,1.8,0.5,17.9,15.0,2014-15,2022-23,27-35,636,313,4.3,9.5,1.7,3.2,2.6,6.3,1.0,1.2,0.4,4.1,4.5,5.3,1.3,0.2,2.2,2.6,12.0,.449,.527,.408,.771,.600,.584,F-G,MILUTA,inglejo01
836,Ersan İlyasova,7.4,18.3,8.0,1.5,1.2,9.1,19.7,2012-13,2020-21,25-33,558,304,6.0,13.5,4.1,8.5,1.8,5.0,2.3,2.9,2.5,6.1,8.5,1.8,1.1,0.5,1.5,3.6,16.1,.442,.485,.370,.773,.543,.511,F,ATLDETMILOKCORLPHIUTA,ilyaser01
837,Andre Iguodala,3.2,13.0,17.6,2.1,1.7,15.9,13.1,2012-13,2022-23,29-39,616,169,3.8,8.2,2.7,4.7,1.1,3.5,1.3,2.1,1.0,4.4,5.4,4.8,1.5,0.7,1.7,2.0,10.0,.465,.567,.328,.617,.552,.535,F-G,DENGSWMIA,iguodan01
838,Serge Ibaka,7.8,19.7,5.5,0.7,5.0,10.8,19.8,2012-13,2022-23,23-33,698,587,6.9,13.5,5.8,10.4,1.1,3.1,1.8,2.3,2.5,6.6,9.1,1.3,0.5,2.2,1.8,3.3,16.7,.508,.552,.359,.776,.572,.549,F-C,LACMILOKCORLTOR,ibakase01
839,Bones Hyland,1.6,13.2,22.2,1.6,1.3,11.9,25.7,2021-22,2022-23,21-22,125,5,6.9,17.2,3.2,7.0,3.7,10.1,2.9,3.4,0.5,4.3,4.9,5.5,1.2,0.5,2.5,3.7,20.4,.401,.448,.368,.850,.546,.510,G,DENLAC,hylanbo01
840,Chandler Hutchison,3.3,19.9,6.2,1.7,0.9,12.1,15.0,2018-19,2021-22,22-25,103,25,4.3,9.8,3.7,7.6,0.7,2.2,1.9,2.9,1.1,6.5,7.6,1.6,1.2,0.4,1.5,2.8,11.2,.442,.480,.309,.643,.506,.476,G,CHIPHOWAS,hutchch01
841,Vince Hunter,32.3,16.9,0.0,0.0,13.4,16.7,38.5,2017-18,2017-18,23,4,0,15.4,25.7,15.4,25.7,0.0,0.0,0.0,0.0,10.3,5.1,15.4,0.0,0.0,5.1,5.1,0.0,30.9,.600,.600,,,.600,.600,F,MEM,huntevi01
842,R.J. Hunter,0.8,11.8,7.1,2.2,0.8,8.7,16.3,2015-16,2018-19,22-25,45,1,4.5,12.0,2.1,4.0,2.4,8.0,0.8,1.0,0.3,3.9,4.2,1.7,1.6,0.4,1.2,3.6,12.1,.371,.523,.295,.818,.486,.470,G,BOSCHIHOU,hunterj01
843,De'Andre Hunter,2.3,12.4,7.0,1.0,0.9,9.8,19.1,2019-20,2022-23,22-25,206,200,5.8,13.1,4.1,8.1,1.8,5.0,2.7,3.4,0.7,4.1,4.8,1.8,0.8,0.4,1.6,3.3,16.1,.444,.497,.356,.799,.552,.511,F,ATL,huntede01
