Rk,Player,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,From,To,Age,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
30,Jeff Withey,10.2,18.8,4.8,1.4,6.2,11.7,14.5,2013-14,2017-18,23-27,206,15,4.3,8.2,4.3,8.0,0.0,0.2,2.9,4.0,3.1,5.9,9.0,1.1,1.0,2.7,1.3,4.0,11.6,.525,.537,.143,.716,.578,.527,C,DALNOPUTA,witheje01
31,James Wiseman,8.1,23.4,5.2,0.5,3.3,12.4,22.5,2020-21,2022-23,19-21,84,49,8.0,14.9,7.7,13.7,0.3,1.2,2.6,3.9,2.7,7.7,10.4,1.2,0.4,1.3,2.3,4.8,19.0,.537,.561,.276,.667,.570,.549,C,DETGSW,wisemja01
32,Cassius Winston,0.0,7.7,18.6,0.7,0.6,14.2,17.4,2020-21,2021-22,22-23,29,0,4.7,11.6,2.1,5.5,2.6,6.0,2.4,2.6,0.0,2.6,2.6,5.0,0.5,0.3,2.1,4.5,14.5,.409,.381,.435,.900,.568,.523,G,WAS,winstca01
33,Justise Winslow,4.6,17.2,14.6,1.7,1.3,14.4,17.1,2015-16,2022-23,19-26,344,128,4.5,11.0,3.6,8.0,0.9,2.9,1.4,2.3,1.5,5.6,7.1,3.6,1.2,0.6,2.0,3.2,11.4,.412,.448,.315,.638,.477,.455,F,LACMEMMIAPOR,winslju01
34,Dylan Windler,4.6,17.7,9.7,1.7,1.4,16.3,13.4,2020-21,2022-23,24-26,84,0,3.5,8.5,1.8,3.0,1.8,5.5,1.3,1.6,1.5,5.7,7.2,2.5,1.2,0.5,1.8,3.1,10.1,.416,.585,.322,.800,.550,.519,G-F,CLE,windldy01
35,Kyle Wiltjer,9.9,14.9,6.1,3.3,1.8,25.2,19.1,2016-17,2016-17,24,14,0,3.3,11.5,0.0,0.8,3.3,10.6,0.8,1.6,3.3,4.9,8.2,1.6,2.5,0.8,4.1,3.3,10.6,.286,.000,.308,.500,.437,.429,F,HOU,wiltjky01
36,Jamil Wilson,1.2,11.5,5.2,0.9,2.4,8.8,14.3,2017-18,2017-18,27,15,10,5.0,10.6,1.4,2.4,3.5,8.3,0.3,0.5,0.4,3.8,4.2,1.3,0.7,1.1,1.1,4.5,13.8,.469,.611,.429,.500,.634,.636,F,LAC,wilsoja02
37,D.J. Wilson,4.7,20.6,8.1,1.1,2.1,11.2,16.4,2017-18,2021-22,21-25,146,6,4.9,11.6,3.0,5.8,1.9,5.9,1.3,2.0,1.6,7.4,9.0,2.2,0.8,0.9,1.6,3.5,12.9,.419,.514,.327,.618,.516,.502,F,HOUMILTOR,wilsodj01
38,Zion Williamson,8.6,15.1,19.8,1.4,1.6,12.4,30.1,2019-20,2022-23,19-22,114,114,11.1,18.4,10.9,17.7,0.2,0.7,6.5,9.4,2.9,5.0,7.8,4.0,1.0,0.6,3.2,2.4,29.0,.605,.615,.343,.691,.643,.611,F-C,NOP,willizi01
39,Nigel Williams-Goss,4.6,8.5,16.4,2.9,1.7,15.1,17.4,2019-20,2019-20,25,10,0,3.6,11.5,2.2,6.5,1.4,5.0,1.4,1.4,1.4,2.9,4.3,4.3,2.2,0.7,2.2,4.3,10.1,.313,.333,.286,1.000,.415,.375,G,UTA,willini01
40,Ziaire Williams,2.3,9.3,6.9,1.2,0.8,10.7,15.8,2021-22,2022-23,20-21,99,35,5.2,11.7,3.3,5.3,1.9,6.4,1.1,1.5,0.8,3.1,3.9,1.9,0.9,0.3,1.5,3.2,13.4,.444,.619,.298,.779,.544,.525,F,MEM,willizi02
41,Vince Williams Jr.,4.0,11.1,4.8,2.7,1.7,10.9,18.1,2022-23,2022-23,22,15,1,4.1,13.7,2.7,4.1,1.4,9.6,0.7,0.7,1.4,3.8,5.1,1.4,2.1,0.7,1.7,4.1,10.3,.300,.667,.143,1.000,.367,.350,F,MEM,willivi01
42,Troy Williams,4.5,13.4,6.6,2.4,1.7,12.8,17.3,2016-17,2018-19,22-24,72,17,5.1,11.4,3.8,7.0,1.3,4.4,1.5,2.4,1.5,4.3,5.8,1.6,1.7,0.7,1.8,4.0,13.1,.449,.543,.299,.649,.526,.507,F,HOUMEMNYKSAC,willitr02
43,Terrence Williams,1.5,14.4,19.7,1.8,0.5,17.2,19.1,2012-13,2012-13,25,24,0,5.4,11.0,4.9,9.3,0.6,1.7,1.0,2.4,0.5,4.5,5.0,4.3,1.2,0.2,2.5,1.5,12.5,.495,.524,.333,.429,.518,.521,F,BOS,willite01
44,Shawne Williams,3.8,16.5,6.2,1.2,2.1,9.0,14.1,2013-14,2014-15,27-28,99,35,3.8,9.6,1.7,3.6,2.1,6.0,1.0,1.2,1.2,5.3,6.5,1.4,0.9,1.0,1.0,4.5,10.6,.394,.476,.345,.817,.524,.502,F,DETLALMIA,willish03
45,Robert Williams,14.0,22.7,10.2,1.7,7.4,14.7,12.5,2018-19,2022-23,21-25,209,97,5.7,7.9,5.7,7.8,0.0,0.0,1.4,2.1,4.6,7.6,12.2,2.5,1.3,2.9,1.5,3.3,12.9,.732,.735,.000,.656,.733,.732,C-F,BOS,williro04
46,Reggie Williams,2.9,11.8,15.8,1.5,0.1,9.6,18.7,2012-13,2016-17,26-30,69,0,5.3,12.6,3.3,6.1,1.9,6.5,1.2,2.0,0.9,3.7,4.6,3.3,1.1,0.1,1.4,2.1,13.7,.419,.551,.295,.625,.509,.495,F,CHANOPOKCSAS,willire02
47,Patrick Williams,3.9,13.2,6.1,1.5,2.5,13.1,15.2,2020-21,2022-23,19-21,170,145,4.7,10.0,3.3,6.6,1.4,3.4,1.6,2.1,1.2,4.3,5.5,1.6,1.1,1.0,1.6,2.3,12.5,.477,.509,.414,.779,.575,.547,F,CHI,willipa01
48,Mo Williams,1.7,7.9,31.1,1.4,0.5,16.5,22.8,2012-13,2015-16,30-33,229,93,5.9,14.2,4.1,9.3,1.8,5.0,2.1,2.4,0.6,2.5,3.1,6.8,1.0,0.2,3.0,3.2,15.7,.415,.445,.358,.878,.514,.478,G,CHOCLEMINPORUTA,willima01
49,Matt Williams,0.0,10.2,0.0,0.0,0.0,14.3,28.6,2017-18,2017-18,24,3,0,6.5,19.6,3.3,3.3,3.3,16.4,0.0,0.0,0.0,3.3,3.3,0.0,0.0,0.0,3.3,3.3,16.4,.333,1.000,.200,,.417,.417,G,MIA,willima05
50,Marvin Williams,4.2,17.3,7.2,1.4,2.0,8.4,15.2,2012-13,2019-20,26-33,585,449,4.5,10.4,2.6,5.1,2.0,5.3,1.6,1.9,1.4,5.6,7.0,1.7,1.0,0.9,1.0,2.4,12.6,.436,.502,.371,.811,.559,.529,F,CHOMILUTA,willima02
51,Mark Williams,11.7,27.7,3.3,1.6,4.7,12.0,17.0,2022-23,2022-23,21,43,17,7.0,10.9,7.0,10.9,0.0,0.0,2.9,4.2,4.0,9.2,13.2,0.8,1.2,2.0,1.7,4.1,16.8,.637,.637,,.691,.659,.637,C,CHO,willima07
52,Lou Williams,1.6,8.4,22.7,1.7,0.5,12.1,26.9,2012-13,2021-22,26-35,668,84,7.0,16.7,4.7,10.3,2.3,6.4,5.7,6.6,0.5,2.8,3.3,5.1,1.2,0.2,2.7,1.7,21.9,.418,.456,.357,.865,.560,.487,G,ATLHOULACLALTOR,willilo02
53,Kenrich Williams,6.7,15.0,12.7,1.8,1.3,11.8,13.5,2018-19,2022-23,24-28,253,70,4.5,9.6,3.1,5.6,1.4,4.0,0.7,1.3,2.3,5.1,7.4,3.2,1.4,0.5,1.4,3.3,11.1,.468,.551,.352,.520,.544,.541,G-F,NOPOKC,willike04
