,Player,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,WS,ORtg,DRtg,VORP,PER,TRB%,AST%,TOV%,USG%,HOF,MVP
159,Dejounte Murray,1,27.7,5.6,12.4,4.8,9.7,0.9,2.7,1.7,2.2,1.0,4.9,5.9,5.0,1.4,0.3,1.9,1.8,13.9,0.456,0.488,0.337,0.783,0.521,0.492,G,20.8,108.0,110.0,9.8,17.4,11.4,27.3,12.5,23.7,0,0
160,Calvin Murphy,1,30.5,7.2,15.0,7.2,14.9,0.0,0.1,3.4,3.9,0.5,1.0,2.1,4.4,1.2,0.1,0.8,3.2,17.9,0.482,0.484,0.139,0.892,0.536,0.483,G,84.1,109.0,107.0,15.8,18.0,3.5,21.6,9.9,25.2,1,0
162,Chris Mullin,5,32.6,6.8,13.4,6.0,11.3,0.8,2.2,3.7,4.2,1.0,3.1,4.1,3.5,1.6,0.6,2.3,2.1,18.2,0.509,0.533,0.384,0.865,0.594,0.54,F-G,93.1,115.0,110.0,41.6,18.8,6.9,16.5,13.3,22.2,1,0
163,Alonzo Mourning,7,31.0,6.1,11.6,6.1,11.5,0.0,0.1,4.8,7.0,2.6,5.9,8.5,1.1,0.5,2.8,2.6,3.4,17.1,0.527,0.53,0.247,0.692,0.583,0.529,C-F,89.7,108.0,100.0,27.4,21.2,15.9,6.7,15.2,25.6,1,0
164,Ja Morant,2,32.2,8.2,17.4,6.9,13.4,1.3,3.9,4.9,6.5,1.0,3.8,4.8,7.4,1.0,0.3,3.3,1.6,22.5,0.472,0.516,0.322,0.754,0.557,0.508,G,19.6,112.0,113.0,9.6,20.4,7.8,35.9,14.1,30.4,0,0
165,Earl Monroe,4,32.0,7.5,16.1,7.5,16.1,0.0,0.0,3.9,4.9,0.3,1.1,3.0,3.9,0.5,0.1,0.3,2.6,18.8,0.464,0.464,0.0,0.807,0.517,0.464,G,77.4,107.0,103.0,9.8,17.2,4.4,17.5,11.3,23.6,1,0
166,Sidney Moncrief,5,30.2,5.4,10.7,5.2,10.2,0.1,0.5,4.7,5.6,1.9,2.8,4.7,3.6,1.2,0.3,2.0,2.1,15.6,0.502,0.513,0.284,0.831,0.591,0.509,G,90.3,119.0,105.0,33.1,18.7,8.6,17.0,13.3,20.6,1,0
168,Steve Mix,1,23.9,4.1,8.2,4.1,8.1,0.0,0.0,2.5,3.1,1.7,3.2,5.3,1.8,1.1,0.2,0.7,2.2,10.6,0.498,0.499,0.286,0.803,0.558,0.499,F,57.6,113.0,99.0,17.1,16.2,11.1,10.4,13.8,20.3,0,0
169,Mike Mitchell,1,32.3,8.4,17.0,8.4,16.9,0.0,0.1,3.0,3.8,2.0,3.6,5.6,1.3,0.7,0.5,1.7,2.7,19.8,0.493,0.495,0.216,0.779,0.529,0.494,F,50.2,109.0,111.0,5.2,16.7,9.4,6.2,8.4,25.1,0,0
170,Donovan Mitchell,4,34.0,8.7,19.6,5.8,11.6,2.9,8.0,4.1,4.8,0.8,3.4,4.2,4.5,1.3,0.3,2.8,2.5,24.5,0.447,0.503,0.364,0.84,0.563,0.521,G,37.3,110.0,109.0,17.8,19.5,6.8,22.7,11.3,31.5,0,0
171,Yao Ming,8,32.5,7.0,13.3,7.0,13.2,0.0,0.0,5.1,6.1,2.5,6.7,9.2,1.6,0.4,1.9,2.7,3.3,19.0,0.524,0.525,0.2,0.833,0.596,0.525,C,65.9,112.0,99.0,20.7,23.0,16.5,9.6,14.5,26.8,1,0
172,Paul Millsap,4,28.1,5.0,10.3,4.5,8.8,0.5,1.5,2.8,3.9,2.2,4.9,7.1,2.2,1.2,1.0,1.7,3.0,13.4,0.489,0.513,0.341,0.736,0.559,0.513,F,95.4,111.0,104.0,29.9,18.7,14.5,12.6,12.3,21.7,0,0
173,Reggie Miller,5,34.3,5.9,12.6,4.1,7.9,1.8,4.7,4.5,5.1,0.6,2.4,3.0,3.0,1.1,0.2,1.7,2.0,18.2,0.471,0.516,0.395,0.888,0.614,0.544,G-F,174.4,121.0,109.0,66.1,18.4,5.1,14.4,10.5,21.6,1,0
174,Brad Miller,2,28.3,4.0,8.3,3.7,7.6,0.2,0.7,3.0,3.8,2.0,5.2,7.1,2.8,0.7,0.7,1.6,2.7,11.2,0.48,0.494,0.33,0.804,0.564,0.494,C-F,76.5,114.0,105.0,23.2,17.5,14.5,16.3,13.7,18.4,0,0
178,Khris Middleton,3,31.5,6.2,13.5,4.3,8.7,1.9,4.8,2.8,3.2,0.6,4.2,4.8,3.8,1.2,0.2,2.1,2.5,17.0,0.458,0.496,0.388,0.881,0.572,0.526,F-G,52.5,111.0,109.0,14.8,16.7,8.4,18.9,12.4,23.5,0,0
180,Kevin McHale,7,31.0,7.0,12.7,7.0,12.5,0.0,0.2,3.7,4.7,2.4,4.9,7.3,1.7,0.4,1.7,1.9,2.8,17.9,0.554,0.558,0.261,0.798,0.605,0.555,F-C,113.0,118.0,106.0,34.3,20.0,13.2,8.1,11.7,22.4,1,0
182,Tracy McGrady,7,32.7,7.2,16.4,6.0,13.0,1.2,3.4,4.1,5.5,1.4,4.2,5.6,4.4,1.2,0.9,2.2,1.8,19.6,0.435,0.461,0.338,0.746,0.519,0.47,G-F,97.3,108.0,104.0,55.7,22.1,9.8,26.3,10.3,29.3,1,0
184,George McGinnis,3,30.7,6.4,14.3,6.4,14.3,0.0,0.0,4.4,6.7,3.0,6.8,9.8,3.8,1.7,0.4,2.4,3.8,17.2,0.448,0.449,0.08,0.651,0.498,0.448,F-C,36.2,97.0,97.0,13.1,18.6,16.4,18.1,18.7,25.7,1,0
185,Antonio McDyess,1,27.6,5.0,10.0,5.0,10.0,0.0,0.1,2.1,3.1,2.4,5.1,7.5,1.3,0.8,1.1,1.6,3.0,12.0,0.497,0.499,0.117,0.67,0.529,0.497,F-C,69.8,106.0,103.0,13.2,17.2,15.7,8.1,12.3,21.4,0,0
186,Xavier McDaniel,1,29.0,6.5,13.4,6.4,13.1,0.1,0.3,2.5,3.5,2.4,3.7,6.1,2.0,0.9,0.5,2.2,2.9,15.6,0.485,0.491,0.261,0.718,0.522,0.489,F,47.8,106.0,108.0,9.6,16.1,11.9,11.0,12.7,24.5,0,0
187,Bob McAdoo,5,33.2,8.7,17.3,8.7,17.3,0.0,0.0,4.6,6.1,2.1,6.5,9.4,2.3,0.9,1.3,1.4,3.2,22.1,0.503,0.504,0.081,0.754,0.551,0.503,C-F,89.1,104.0,100.0,27.2,20.7,14.7,10.5,14.3,25.8,1,1
188,Anthony Mason,1,34.7,4.1,8.0,4.1,8.0,0.0,0.0,2.8,4.0,2.2,6.1,8.3,3.4,0.7,0.3,1.8,2.7,10.9,0.509,0.51,0.167,0.709,0.563,0.51,F,88.3,114.0,104.0,23.2,14.6,13.9,15.2,15.3,15.2,0,0
189,Jamal Mashburn,1,37.3,7.0,16.7,5.7,13.1,1.3,3.6,3.8,5.0,1.1,4.2,5.4,4.0,1.0,0.2,2.6,2.5,19.1,0.418,0.439,0.345,0.766,0.504,0.456,F,43.7,103.0,106.0,13.4,15.7,8.2,19.3,12.1,25.8,0,0
191,Kenyon Martin,1,30.6,5.1,10.6,5.0,10.2,0.1,0.4,2.0,3.2,1.7,5.1,6.8,1.9,1.2,1.1,1.7,3.3,12.3,0.483,0.492,0.234,0.629,0.513,0.487,F,48.0,101.0,101.0,12.1,15.0,12.8,10.6,12.7,20.2,0,0
192,Lauri Markkanen,1,30.6,6.0,13.2,3.6,6.8,2.4,6.4,2.9,3.3,1.3,5.9,7.1,1.4,0.7,0.5,1.4,1.9,17.3,0.455,0.534,0.371,0.858,0.588,0.545,F-C,24.8,114.0,112.0,7.3,16.9,12.6,7.0,8.6,22.6,0,0
193,Shawn Marion,4,34.5,6.3,12.9,5.6,10.9,0.7,2.1,2.0,2.5,2.3,6.3,8.7,1.9,1.5,1.1,1.5,2.2,15.2,0.484,0.513,0.331,0.81,0.542,0.51,F,124.9,110.0,102.0,47.6,18.8,14.3,9.1,9.7,20.4,0,0
