,Player,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,WS,ORtg,DRtg,VORP,PER,TRB%,AST%,TOV%,USG%,HOF,MVP
353,James Donaldson,1,27.4,3.2,5.7,3.2,5.7,0.0,0.0,2.1,2.8,2.2,5.7,7.8,0.8,0.4,1.3,1.5,2.1,8.6,0.571,0.571,0.0,0.732,0.618,0.571,C,62.3,114.0,106.0,12.4,13.8,15.8,3.9,18.0,12.8,0,0
354,Vlade Divac,1,29.8,4.6,9.3,4.5,8.9,0.1,0.4,2.5,3.7,2.5,5.7,8.2,3.1,1.1,1.4,2.2,3.2,11.8,0.495,0.506,0.235,0.692,0.543,0.5,C,96.4,108.0,101.0,36.3,17.7,15.4,16.0,16.7,19.2,1,0
356,DeMar DeRozan,6,34.4,7.6,16.1,7.1,14.6,0.4,1.5,5.5,6.5,0.7,3.7,4.4,4.0,1.0,0.3,2.1,2.3,21.0,0.468,0.486,0.292,0.84,0.553,0.482,G-F,91.9,112.0,111.0,25.2,19.0,7.3,19.4,9.9,27.4,0,0
357,Luol Deng,2,34.3,5.7,12.5,5.0,10.3,0.7,2.2,2.7,3.5,1.6,4.4,6.1,2.3,1.0,0.5,1.6,1.7,14.8,0.456,0.482,0.332,0.769,0.528,0.485,F,74.0,107.0,105.0,22.9,15.4,10.1,11.2,10.3,20.6,0,0
359,Walter Davis,6,27.9,7.9,15.4,7.7,14.8,0.2,0.6,3.0,3.6,0.9,2.1,3.0,3.8,1.2,0.1,2.5,2.4,18.9,0.511,0.521,0.272,0.851,0.558,0.516,G-F,76.9,108.0,107.0,25.3,19.1,5.8,21.1,12.7,27.4,0,0
360,Dale Davis,1,27.1,3.3,6.2,3.3,6.2,0.0,0.0,1.4,2.5,3.0,4.8,7.9,0.9,0.6,1.2,1.0,2.6,8.0,0.53,0.53,0.0,0.562,0.546,0.53,F-C,86.9,114.0,103.0,18.4,15.2,17.1,5.2,12.0,14.0,0,0
361,Baron Davis,2,34.2,5.9,14.3,4.3,9.3,1.6,5.0,2.8,3.9,0.9,2.9,3.8,7.2,1.8,0.4,2.8,2.8,16.1,0.409,0.456,0.32,0.711,0.502,0.465,G,63.1,105.0,105.0,33.1,17.8,6.3,36.3,14.7,24.6,0,0
362,Antonio Davis,1,28.9,3.5,7.9,3.5,7.9,0.0,0.0,3.0,4.1,2.6,4.9,7.5,1.1,0.5,1.0,1.5,2.8,10.0,0.448,0.449,0.087,0.727,0.518,0.448,F-C,59.6,106.0,104.0,4.4,14.1,15.0,6.4,13.4,17.6,0,0
363,Anthony Davis,8,34.4,9.0,17.3,8.5,15.7,0.5,1.6,5.6,7.1,2.6,7.8,10.4,2.4,1.3,2.3,2.0,2.4,24.0,0.519,0.541,0.301,0.793,0.589,0.533,F-C,99.2,117.0,104.0,45.7,27.0,16.6,11.9,8.8,28.4,0,0
365,Brad Daugherty,5,36.5,7.0,13.1,7.0,13.1,0.0,0.0,5.0,6.7,2.2,7.3,9.5,3.7,0.8,0.7,2.8,2.7,19.0,0.532,0.533,0.143,0.747,0.59,0.532,C,65.2,114.0,105.0,21.3,18.9,14.8,15.5,14.6,22.2,0,0
366,Adrian Dantley,6,35.8,8.6,15.8,8.5,15.8,0.0,0.0,7.2,8.7,2.3,3.4,5.7,3.0,1.0,0.2,2.6,2.7,24.3,0.54,0.541,0.171,0.818,0.617,0.54,F-G,134.2,119.0,109.0,43.8,21.5,8.6,13.0,12.5,26.1,1,0
367,Bob Dandridge,4,35.2,7.7,15.9,7.7,15.9,0.0,0.0,3.1,4.0,1.1,2.8,6.8,3.4,0.8,0.4,0.8,3.5,18.5,0.484,0.484,0.167,0.78,0.524,0.484,F-G,80.3,104.0,100.0,15.1,16.7,9.4,13.5,13.8,23.1,1,0
368,Stephen Curry,9,34.4,8.4,17.7,4.6,8.8,3.8,9.0,3.9,4.3,0.7,4.1,4.7,6.5,1.6,0.2,3.2,2.4,24.6,0.475,0.524,0.428,0.908,0.627,0.583,G,127.2,118.0,108.0,65.3,23.8,7.5,31.3,13.8,28.8,0,1
370,Terry Cummings,2,28.7,6.8,14.1,6.8,13.9,0.0,0.1,2.8,4.0,2.7,4.6,7.3,1.9,1.1,0.5,1.9,3.2,16.4,0.484,0.486,0.295,0.706,0.52,0.485,F,91.1,108.0,105.0,22.5,18.3,14.4,10.5,10.5,25.6,0,0
371,Dave Cowens,8,38.6,7.5,16.3,7.5,16.3,0.0,0.0,2.6,3.4,2.1,6.7,13.6,3.8,0.8,0.6,0.7,3.8,17.6,0.46,0.46,0.071,0.783,0.496,0.46,C-F,86.3,106.0,96.0,21.5,17.0,17.1,13.7,12.6,19.0,1,1
373,DeMarcus Cousins,4,29.8,7.0,15.2,6.3,13.2,0.7,2.0,5.0,6.7,2.6,7.6,10.2,3.0,1.3,1.1,3.3,3.7,19.6,0.46,0.479,0.331,0.737,0.539,0.481,C-F,46.8,104.0,104.0,21.6,22.0,19.0,17.9,15.3,31.4,0,0
375,Mike Conley,1,31.9,5.2,11.8,3.6,7.7,1.6,4.1,2.7,3.3,0.5,2.5,3.0,5.7,1.4,0.2,2.0,2.0,14.6,0.438,0.469,0.381,0.82,0.552,0.505,G,91.5,114.0,109.0,36.0,17.4,5.4,28.8,12.9,21.5,0,0
376,Doug Collins,4,33.6,7.1,14.1,7.1,14.1,0.0,0.0,3.8,4.5,1.1,2.1,3.2,3.3,1.2,0.3,1.2,3.0,17.9,0.501,0.501,0.0,0.833,0.557,0.501,G-F,38.0,107.0,102.0,8.4,16.1,4.8,14.6,14.8,22.4,0,0
378,Derrick Coleman,1,33.2,5.9,13.2,5.5,11.8,0.4,1.4,4.3,5.5,2.7,6.6,9.3,2.5,0.8,1.3,2.6,2.6,16.5,0.447,0.465,0.295,0.769,0.526,0.462,F-C,64.3,105.0,103.0,22.3,18.0,15.4,13.0,14.3,23.8,0,0
381,Phil Chenier,3,33.1,7.1,16.0,7.1,16.0,0.0,0.0,2.9,3.6,0.6,2.0,3.6,3.0,1.2,0.4,0.3,2.0,17.2,0.444,0.444,0.4,0.806,0.487,0.445,G,39.3,95.0,97.0,11.5,15.3,5.3,13.5,12.5,21.3,0,0
382,Maurice Cheeks,4,31.6,4.5,8.5,4.4,8.3,0.0,0.2,2.1,2.7,0.6,2.2,2.8,6.7,2.1,0.3,2.1,2.1,11.1,0.523,0.529,0.255,0.793,0.572,0.526,G,103.5,116.0,105.0,42.1,16.5,4.9,29.2,17.5,15.2,1,0
384,Tyson Chandler,1,27.3,3.1,5.1,3.1,5.1,0.0,0.0,2.1,3.2,3.0,6.0,9.0,0.8,0.5,1.2,1.4,2.8,8.2,0.597,0.598,0.0,0.644,0.626,0.597,C,102.1,118.0,103.0,16.9,16.1,18.8,4.7,17.9,13.2,0,0
385,Tom Chambers,4,30.6,6.7,14.2,6.5,13.6,0.2,0.7,4.6,5.7,1.8,4.3,6.1,2.1,0.8,0.6,2.3,3.4,18.1,0.468,0.476,0.307,0.807,0.542,0.476,F-C,79.0,108.0,108.0,12.0,16.5,11.2,10.1,12.1,25.4,0,0
387,Cedric Ceballos,1,24.2,5.6,11.2,5.2,10.0,0.4,1.2,2.7,3.6,2.1,3.3,5.3,1.2,0.7,0.3,1.6,1.8,14.3,0.5,0.524,0.309,0.753,0.559,0.518,F,40.4,110.0,107.0,10.1,19.3,12.4,8.3,11.3,25.9,0,0
388,Sam Cassell,1,30.0,5.7,12.6,5.1,10.6,0.7,2.0,3.6,4.2,0.6,2.6,3.2,6.0,1.1,0.2,2.4,2.8,15.7,0.454,0.477,0.331,0.861,0.544,0.48,G,87.5,110.0,108.0,28.8,19.5,6.2,34.4,14.4,25.7,0,0
389,Bill Cartwright,1,28.5,4.8,9.2,4.8,9.2,0.0,0.0,3.5,4.6,1.9,4.5,6.3,1.4,0.5,0.7,2.0,2.9,13.2,0.525,0.525,0.0,0.771,0.588,0.525,C,72.8,112.0,107.0,9.7,15.2,12.8,7.1,14.9,19.2,0,0
390,Vince Carter,8,30.1,6.0,13.8,4.5,9.8,1.5,4.0,3.1,3.9,1.1,3.2,4.3,3.1,1.0,0.6,1.7,2.6,16.7,0.435,0.462,0.371,0.798,0.536,0.489,G-F,125.3,108.0,107.0,57.9,18.6,8.2,19.3,9.7,26.3,0,0
391,Joe Barry Carroll,1,32.4,7.1,15.0,7.1,15.0,0.0,0.0,3.4,4.6,2.4,5.3,7.7,1.8,1.0,1.6,2.8,3.1,17.7,0.474,0.475,0.0,0.747,0.519,0.474,C-F,35.6,102.0,107.0,8.2,16.4,12.9,8.3,14.1,24.3,0,0
392,Austin Carr,1,28.8,6.4,14.2,6.4,14.2,0.0,0.0,2.6,3.2,1.0,1.1,2.9,2.8,0.6,0.1,0.7,2.0,15.4,0.449,0.449,0.154,0.804,0.491,0.449,G,32.9,102.0,105.0,5.2,15.0,5.2,14.5,11.7,22.1,0,0
394,Andrew Bynum,1,25.6,4.6,8.2,4.6,8.2,0.0,0.0,2.4,3.4,2.4,5.3,7.7,1.2,0.3,1.6,1.5,2.5,11.5,0.556,0.557,0.111,0.69,0.592,0.556,C,37.4,114.0,103.0,9.1,19.6,17.0,7.5,13.6,19.9,0,0
395,Jimmy Butler,6,33.2,5.9,12.6,5.1,10.2,0.8,2.4,5.6,6.6,1.6,3.7,5.4,4.2,1.6,0.5,1.6,1.4,18.1,0.466,0.501,0.323,0.842,0.583,0.497,F-G,104.8,122.0,107.0,43.6,21.6,9.0,20.6,9.5,22.9,0,0
396,Caron Butler,2,32.2,5.2,12.0,4.4,9.6,0.8,2.4,2.8,3.3,1.3,3.7,5.0,2.3,1.3,0.2,1.8,2.4,14.1,0.434,0.456,0.348,0.847,0.523,0.469,F,50.9,105.0,108.0,12.6,15.0,9.0,12.3,11.8,21.7,0,0
397,Don Buse,1,26.3,2.8,6.4,2.6,5.6,0.3,0.8,1.0,1.3,0.6,1.8,2.3,4.5,1.8,0.1,0.9,1.5,6.9,0.442,0.457,0.333,0.78,0.497,0.462,G,34.9,109.0,103.0,13.6,12.7,4.7,21.5,13.6,12.3,0,0
398,Kobe Bryant,18,36.1,8.7,19.5,7.3,15.3,1.4,4.1,6.2,7.4,1.1,4.1,5.2,4.7,1.4,0.5,3.0,2.5,25.0,0.447,0.479,0.329,0.837,0.55,0.482,G-F,172.7,110.0,105.0,80.1,22.9,8.1,24.2,11.6,31.8,1,1
399,Jaylen Brown,2,29.7,6.7,14.0,4.8,8.9,1.9,5.1,2.6,3.7,0.9,4.3,5.2,2.2,1.0,0.4,2.0,2.5,17.9,0.477,0.541,0.367,0.724,0.573,0.544,F-G,29.5,108.0,109.0,8.1,16.5,9.6,12.4,11.4,25.9,0,0
400,Fred Brown,1,25.4,6.2,13.1,6.1,12.7,0.1,0.3,2.0,2.3,0.7,1.7,2.7,3.3,1.2,0.2,0.9,2.0,14.6,0.478,0.48,0.373,0.858,0.518,0.482,G,63.2,107.0,101.0,22.6,17.7,5.5,20.2,11.6,24.2,0,0
404,Terrell Brandon,2,29.8,5.4,12.0,4.9,10.5,0.5,1.5,2.5,2.8,0.6,2.4,3.0,6.1,1.6,0.3,2.0,1.8,13.8,0.448,0.462,0.355,0.873,0.519,0.471,G,65.9,110.0,105.0,30.3,19.7,6.1,35.5,12.9,23.9,0,0
405,Elton Brand,2,33.0,6.2,12.5,6.2,12.4,0.0,0.0,3.4,4.7,3.1,5.4,8.5,2.1,0.9,1.7,1.9,2.9,15.9,0.5,0.501,0.095,0.736,0.548,0.501,F-C,109.6,110.0,104.0,37.3,20.5,15.0,11.7,11.8,22.8,0,0
407,Chris Bosh,11,35.8,7.0,14.1,6.6,13.1,0.3,1.0,5.0,6.3,2.2,6.3,8.5,2.0,0.8,1.0,2.0,2.4,19.2,0.494,0.506,0.335,0.799,0.571,0.506,F-C,106.0,113.0,105.0,31.1,20.6,14.1,9.9,10.7,24.6,1,0
409,Carlos Boozer,2,31.2,6.8,13.0,6.8,13.0,0.0,0.0,2.6,3.7,2.4,7.1,9.5,2.2,0.9,0.4,2.1,3.0,16.2,0.521,0.522,0.071,0.722,0.554,0.521,F-C,80.3,108.0,102.0,23.1,19.5,17.7,13.2,12.6,24.3,0,0
411,Devin Booker,3,33.8,8.4,18.2,6.4,12.5,2.1,5.8,5.1,5.8,0.6,3.4,4.0,4.7,0.8,0.3,3.1,3.0,23.9,0.461,0.508,0.358,0.868,0.575,0.517,G,35.6,110.0,114.0,13.0,18.4,6.5,23.7,12.9,30.3,0,0
413,Mookie Blaylock,1,34.9,5.3,12.9,3.8,8.6,1.4,4.3,1.4,1.9,1.1,3.0,4.1,6.7,2.3,0.3,2.3,1.9,13.5,0.409,0.445,0.336,0.736,0.488,0.465,G,71.8,106.0,105.0,39.2,16.8,6.6,30.9,14.4,20.1,0,0
414,Rolando Blackman,4,32.7,7.0,14.3,6.8,13.6,0.2,0.7,3.7,4.4,1.1,2.3,3.3,3.0,0.7,0.3,1.9,1.7,18.0,0.493,0.501,0.343,0.84,0.555,0.501,G,75.6,113.0,112.0,19.8,16.7,5.7,14.4,10.3,23.2,0,0
415,Otis Birdsong,4,31.1,7.7,15.2,7.6,14.9,0.1,0.3,2.6,3.9,1.3,1.7,3.0,3.2,1.2,0.2,2.1,2.6,18.0,0.506,0.51,0.274,0.655,0.533,0.509,G,48.2,107.0,107.0,14.3,16.5,5.3,16.0,11.2,24.5,0,0
416,Larry Bird,12,38.4,9.6,19.3,8.9,17.4,0.7,1.9,4.4,5.0,2.0,8.0,10.0,6.3,1.7,0.8,3.1,2.5,24.3,0.496,0.509,0.376,0.886,0.564,0.514,F,145.8,115.0,101.0,77.2,23.5,14.5,24.7,12.7,26.5,1,1
417,Dave Bing,7,36.4,7.7,17.5,7.7,17.5,0.0,0.0,4.9,6.3,0.5,0.8,3.8,6.0,0.5,0.1,0.2,2.9,20.3,0.441,0.441,0.0,0.775,0.502,0.441,G,68.8,99.0,100.0,5.6,17.6,4.7,24.3,16.8,22.1,1,0
418,Chauncey Billups,5,31.6,4.5,10.9,2.8,6.4,1.8,4.5,4.3,4.8,0.5,2.4,2.9,5.4,1.0,0.2,2.0,2.1,15.2,0.415,0.435,0.387,0.894,0.58,0.495,G,120.8,118.0,107.0,43.5,18.8,5.3,28.1,13.6,21.9,0,0
422,Butch Beard,1,23.6,3.6,7.4,3.6,7.4,0.0,0.0,2.1,2.7,0.8,1.6,3.4,3.6,0.8,0.1,0.3,2.6,9.3,0.487,0.487,0.0,0.771,0.54,0.487,G,32.8,105.0,100.0,6.2,15.0,7.1,20.2,18.8,16.1,0,0
423,Bradley Beal,3,34.7,8.1,17.6,5.9,11.7,2.2,5.9,3.8,4.6,0.9,3.2,4.1,4.3,1.1,0.4,2.5,2.2,22.1,0.46,0.503,0.372,0.823,0.564,0.522,G,52.3,110.0,112.0,22.6,18.4,6.5,20.6,11.1,27.7,0,0
425,Rick Barry,8,36.3,9.1,20.4,9.0,20.1,0.1,0.3,4.8,5.3,0.6,3.0,6.5,5.1,1.4,0.3,0.7,2.9,23.2,0.449,0.45,0.33,0.9,0.51,0.451,F,93.4,105.0,99.0,24.8,20.2,7.8,20.3,13.2,23.1,1,0
426,Dana Barros,1,22.9,3.9,8.4,2.6,5.3,1.3,3.1,1.5,1.7,0.3,1.6,1.9,3.3,0.9,0.1,1.4,1.3,10.5,0.46,0.488,0.411,0.858,0.572,0.536,G,49.6,114.0,110.0,18.1,16.4,4.7,23.7,13.5,20.0,0,0
430,Charles Barkley,11,36.7,7.9,14.5,7.4,12.7,0.5,1.9,5.9,8.1,4.0,7.7,11.7,3.9,1.5,0.8,3.1,3.1,22.1,0.541,0.581,0.266,0.735,0.612,0.558,F,177.2,119.0,105.0,80.5,24.6,18.2,17.5,14.8,24.8,1,1
431,LaMelo Ball,1,31.8,7.0,16.3,4.1,8.9,2.8,7.5,2.7,3.3,1.3,5.1,6.4,7.3,1.5,0.4,3.2,3.0,19.4,0.426,0.467,0.377,0.828,0.547,0.512,G,10.5,109.0,112.0,6.2,18.6,10.7,35.8,15.3,28.0,0,0
432,Vin Baker,4,32.5,5.9,12.2,5.9,12.0,0.0,0.2,3.1,4.8,2.9,4.6,7.4,1.9,0.7,1.0,2.2,3.2,15.0,0.485,0.49,0.215,0.638,0.522,0.487,F,47.0,104.0,107.0,5.3,16.3,13.4,10.2,13.4,23.0,0,0
433,B.J. Armstrong,1,23.8,3.8,8.0,3.2,6.6,0.6,1.4,1.6,1.9,0.3,1.5,1.8,3.3,0.7,0.1,1.2,1.5,9.8,0.477,0.487,0.425,0.856,0.555,0.513,G,45.0,115.0,110.0,8.1,14.5,4.3,20.9,11.9,18.4,0,0
435,Gilbert Arenas,3,35.1,6.7,16.0,4.8,10.5,2.0,5.6,5.2,6.5,0.8,3.1,3.9,5.3,1.6,0.2,3.2,3.0,20.7,0.421,0.458,0.351,0.803,0.547,0.482,G,51.3,109.0,109.0,22.3,19.6,6.3,26.8,14.3,27.7,0,0
436,Tiny Archibald,6,35.6,6.7,14.4,6.7,14.3,0.0,0.1,5.3,6.6,0.4,1.2,2.3,7.4,0.8,0.1,1.3,2.3,18.8,0.467,0.469,0.224,0.81,0.543,0.468,G,83.4,109.0,105.0,12.9,18.0,3.4,30.1,20.2,18.0,1,0
437,Carmelo Anthony,10,34.5,8.0,18.0,6.7,14.1,1.4,3.9,5.0,6.2,1.6,4.6,6.2,2.7,1.0,0.5,2.4,2.8,22.5,0.447,0.472,0.355,0.814,0.543,0.485,F,108.5,108.0,109.0,36.7,19.5,10.1,14.4,10.5,29.7,0,0
438,Giannis Antetokounmpo,7,32.5,8.2,15.3,7.5,12.9,0.7,2.4,5.6,7.8,1.8,7.8,9.6,4.7,1.1,1.3,3.0,3.0,22.6,0.537,0.583,0.288,0.709,0.605,0.559,F-G,96.0,116.0,104.0,48.4,24.9,16.0,25.0,13.7,28.9,0,1
439,Kenny Anderson,1,30.1,4.7,11.1,4.0,9.2,0.6,1.8,2.6,3.3,0.8,2.3,3.1,6.1,1.5,0.1,2.1,2.3,12.6,0.421,0.436,0.346,0.79,0.501,0.449,G,62.5,108.0,106.0,21.9,16.4,5.7,33.2,14.1,21.3,0,0
440,Ray Allen,10,35.6,6.6,14.6,4.3,8.9,2.3,5.7,3.4,3.8,0.9,3.1,4.1,3.4,1.1,0.2,2.1,2.2,18.9,0.452,0.485,0.4,0.894,0.58,0.53,G,145.1,114.0,108.0,57.6,18.6,6.8,16.5,11.4,23.8,1,0
441,Jarrett Allen,1,27.6,4.7,7.5,4.7,7.3,0.0,0.3,2.5,3.5,2.8,6.1,8.9,1.4,0.6,1.3,1.3,2.1,12.0,0.63,0.645,0.183,0.705,0.662,0.633,C-F,44.2,128.0,108.0,10.9,20.0,17.6,7.8,12.9,16.4,0,0
442,LaMarcus Aldridge,7,33.7,7.7,15.7,7.5,15.0,0.2,0.7,3.4,4.2,2.6,5.5,8.1,1.9,0.7,1.1,1.5,2.4,19.1,0.493,0.5,0.32,0.813,0.544,0.499,F-C,115.7,113.0,107.0,33.4,20.7,13.8,10.2,8.0,25.7,0,0
443,Danny Ainge,1,26.6,4.5,9.5,3.5,7.0,1.0,2.5,1.6,1.9,0.7,2.0,2.7,4.0,1.1,0.1,1.5,2.4,11.5,0.469,0.502,0.378,0.846,0.555,0.519,G,71.5,114.0,108.0,21.9,14.7,5.6,20.8,12.7,18.5,0,0
444,Mark Aguirre,3,30.0,7.8,16.1,7.4,14.7,0.4,1.4,4.0,5.4,1.8,3.1,5.0,3.1,0.7,0.3,2.5,2.8,20.0,0.484,0.5,0.312,0.741,0.542,0.498,F-G,67.8,109.0,110.0,24.4,19.0,9.2,16.9,11.9,29.1,0,0
445,Bam Adebayo,2,29.4,5.6,10.2,5.6,10.1,0.0,0.1,3.4,4.5,2.2,6.3,8.5,3.4,1.0,0.9,2.2,2.5,14.7,0.553,0.56,0.129,0.754,0.604,0.554,C-F,42.5,117.0,107.0,14.3,20.0,16.3,19.0,15.0,21.6,0,0
446,Michael Adams,1,31.3,5.0,12.0,3.5,7.6,1.5,4.4,3.3,3.9,0.6,2.3,2.9,6.4,1.7,0.1,2.1,1.8,14.7,0.415,0.462,0.332,0.849,0.536,0.475,G,46.9,112.0,110.0,19.9,16.6,5.0,28.2,13.5,20.2,0,0
447,Alvan Adams,1,27.5,5.8,11.6,5.8,11.6,0.0,0.0,2.5,3.2,2.0,5.0,7.0,4.1,1.3,0.8,2.2,3.3,14.1,0.498,0.498,0.133,0.788,0.541,0.498,C-F,73.5,105.0,100.0,33.0,18.3,14.1,21.4,17.8,22.0,0,0
448,Shareef Abdur-Rahim,1,34.8,6.5,13.9,6.4,13.2,0.2,0.6,4.8,6.0,2.3,5.3,7.5,2.5,1.0,0.8,2.6,2.8,18.1,0.472,0.48,0.297,0.81,0.549,0.479,F,71.2,108.0,107.0,21.9,19.0,12.5,13.6,13.5,25.0,0,0
449,Kareem Abdul-Jabbar,19,36.8,10.2,18.1,10.2,18.1,0.0,0.0,4.3,6.0,1.9,6.0,11.2,3.6,0.7,2.0,1.6,3.0,24.6,0.559,0.56,0.056,0.721,0.592,0.559,C,273.4,115.0,99.0,85.7,24.6,15.7,14.6,13.4,24.3,1,1
