Rk,Player,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
169,Steve Mix,1969-70,1982-83,22-35,787,56,1,23.9,4.1,8.2,4.1,8.1,0.0,0.0,2.5,3.1,1.7,3.2,5.3,1.8,1.1,0.2,0.7,2.2,10.6,.498,.499,.286,.803,.558,.499,F,DETLALMILPHI,mixst01
170,Mike Mitchell,1978-79,1987-88,23-32,759,443,1,32.3,8.4,17.0,8.4,16.9,0.0,0.1,3.0,3.8,2.0,3.6,5.6,1.3,0.7,0.5,1.7,2.7,19.8,.493,.495,.216,.779,.529,.494,F,CLESAS,mitchmi01
171,Donovan Mitchell,2017-18,2022-23,21-26,410,402,4,34.0,8.7,19.6,5.8,11.6,2.9,8.0,4.1,4.8,0.8,3.4,4.2,4.5,1.3,0.3,2.8,2.5,24.5,.447,.503,.364,.840,.563,.521,G,CLEUTA,mitchdo01
172,Yao Ming,2002-03,2010-11,22-30,486,476,8,32.5,7.0,13.3,7.0,13.2,0.0,0.0,5.1,6.1,2.5,6.7,9.2,1.6,0.4,1.9,2.7,3.3,19.0,.524,.525,.200,.833,.596,.525,C,HOU,mingya01
173,Paul Millsap,2006-07,2021-22,21-36,1085,746,4,28.1,5.0,10.3,4.5,8.8,0.5,1.5,2.8,3.9,2.2,4.9,7.1,2.2,1.2,1.0,1.7,3.0,13.4,.489,.513,.341,.736,.559,.513,F,ATLBRKDENPHIUTA,millspa01
174,Reggie Miller,1987-88,2004-05,22-39,1389,1304,5,34.3,5.9,12.6,4.1,7.9,1.8,4.7,4.5,5.1,0.6,2.4,3.0,3.0,1.1,0.2,1.7,2.0,18.2,.471,.516,.395,.888,.614,.544,G-F,IND,millere01
175,Brad Miller,1998-99,2011-12,22-35,868,598,2,28.3,4.0,8.3,3.7,7.6,0.2,0.7,3.0,3.8,2.0,5.2,7.1,2.8,0.7,0.7,1.6,2.7,11.2,.480,.494,.330,.804,.564,.494,C-F,CHHCHIHOUINDMINSAC,millebr01
176,Eddie Miles,1963-64,1971-72,23-31,605,,1,25.9,5.5,12.4,5.5,12.4,,,2.5,3.4,,,3.1,2.0,,,,2.3,13.4,.440,.440,,.747,.483,.440,G-F,BALDETNYK,milesed01
177,Vern Mikkelsen,1949-50,1958-59,21-30,699,,6,26.4,5.1,12.6,5.1,12.6,,,4.2,5.5,,,8.5,2.2,,,,4.0,14.4,.403,.403,,.766,.478,.403,F-C,MNL,mikkeve01
178,George Mikan,1948-49,1955-56,24-31,439,,4,19.0,8.1,20.0,8.1,20.0,,,7.0,8.9,,,9.5,2.8,,,,4.2,23.1,.404,.404,,.782,.483,.404,C,MNL,mikange01
179,Khris Middleton,2012-13,2022-23,21-31,681,592,3,31.5,6.2,13.5,4.3,8.7,1.9,4.8,2.8,3.2,0.6,4.2,4.8,3.8,1.2,0.2,2.1,2.5,17.0,.458,.496,.388,.881,.572,.526,F-G,DETMIL,middlkh01
180,Tom Meschery,1961-62,1970-71,23-32,778,,1,30.2,5.0,11.3,5.0,11.3,,,2.8,3.7,,,8.6,1.7,,,,3.7,12.7,.441,.441,,.745,.492,.441,F,PHWSEASFW,meschto01
181,Kevin McHale,1980-81,1992-93,23-35,971,400,7,31.0,7.0,12.7,7.0,12.5,0.0,0.2,3.7,4.7,2.4,4.9,7.3,1.7,0.4,1.7,1.9,2.8,17.9,.554,.558,.261,.798,.605,.555,F-C,BOS,mchalke01
182,Dick McGuire,1949-50,1959-60,24-34,738,,7,23.3,2.8,7.1,2.8,7.1,,,2.5,3.8,,,3.8,5.7,,,,2.3,8.0,.389,.389,,.644,.455,.389,G,DETNYK,mcguidi01
183,Tracy McGrady,1997-98,2011-12,18-32,938,703,7,32.7,7.2,16.4,6.0,13.0,1.2,3.4,4.1,5.5,1.4,4.2,5.6,4.4,1.2,0.9,2.2,1.8,19.6,.435,.461,.338,.746,.519,.470,G-F,ATLDETHOUNYKORLTOR,mcgratr01
184,Jon McGlocklin,1965-66,1975-76,22-32,792,,1,26.4,5.1,10.3,5.1,10.3,,,1.5,1.7,0.1,0.3,2.4,2.9,0.1,0.0,,1.7,11.6,.489,.489,,.845,.522,.489,G-F,CINMILSDR,mcglojo01
185,George McGinnis,1975-76,1981-82,25-31,528,158,3,30.7,6.4,14.3,6.4,14.3,0.0,0.0,4.4,6.7,3.0,6.8,9.8,3.8,1.7,0.4,2.4,3.8,17.2,.448,.449,.080,.651,.498,.448,F-C,DENINDPHI,mcginge01
186,Antonio McDyess,1995-96,2010-11,21-36,1015,645,1,27.6,5.0,10.0,5.0,10.0,0.0,0.1,2.1,3.1,2.4,5.1,7.5,1.3,0.8,1.1,1.6,3.0,12.0,.497,.499,.117,.670,.529,.497,F-C,DENDETNYKPHOSAS,mcdyean01
187,Xavier McDaniel,1985-86,1997-98,22-34,870,529,1,29.0,6.5,13.4,6.4,13.1,0.1,0.3,2.5,3.5,2.4,3.7,6.1,2.0,0.9,0.5,2.2,2.9,15.6,.485,.491,.261,.718,.522,.489,F,BOSNJNNYKPHOSEA,mcdanxa01
188,Bob McAdoo,1972-73,1985-86,21-34,852,1,5,33.2,8.7,17.3,8.7,17.3,0.0,0.0,4.6,6.1,2.1,6.5,9.4,2.3,0.9,1.3,1.4,3.2,22.1,.503,.504,.081,.754,.551,.503,C-F,BOSBUFDETLALNJNNYKPHI,mcadobo01
189,Anthony Mason,1989-90,2002-03,23-36,882,559,1,34.7,4.1,8.0,4.1,8.0,0.0,0.0,2.8,4.0,2.2,6.1,8.3,3.4,0.7,0.3,1.8,2.7,10.9,.509,.510,.167,.709,.563,.510,F,CHHDENMIAMILNJNNYK,masonan01
190,Jamal Mashburn,1993-94,2003-04,21-31,611,584,1,37.3,7.0,16.7,5.7,13.1,1.3,3.6,3.8,5.0,1.1,4.2,5.4,4.0,1.0,0.2,2.6,2.5,19.1,.418,.439,.345,.766,.504,.456,F,CHHDALMIANOH,mashbja01
191,Slater Martin,1949-50,1959-60,24-34,745,,7,29.4,3.5,9.7,3.5,9.7,,,2.8,3.7,,,3.1,4.2,,,,3.0,9.8,.364,.364,,.762,.436,.364,G,MNLNYKSTL,martisl01
192,Kenyon Martin,2000-01,2014-15,23-37,757,667,1,30.6,5.1,10.6,5.0,10.2,0.1,0.4,2.0,3.2,1.7,5.1,6.8,1.9,1.2,1.1,1.7,3.3,12.3,.483,.492,.234,.629,.513,.487,F,DENLACMILNJNNYK,martike01
193,Lauri Markkanen,2017-18,2022-23,20-25,347,321,1,30.6,6.0,13.2,3.6,6.8,2.4,6.4,2.9,3.3,1.3,5.9,7.1,1.4,0.7,0.5,1.4,1.9,17.3,.455,.534,.371,.858,.588,.545,F-C,CHICLEUTA,markkla01
194,Shawn Marion,1999-00,2014-15,21-36,1163,1062,4,34.5,6.3,12.9,5.6,10.9,0.7,2.1,2.0,2.5,2.3,6.3,8.7,1.9,1.5,1.1,1.5,2.2,15.2,.484,.513,.331,.810,.542,.510,F,CLEDALMIAPHOTOR,mariosh01
195,Jack Marin,1966-67,1976-77,22-32,849,,2,29.0,6.0,12.8,6.0,12.8,,,2.8,3.4,0.3,0.8,5.2,2.1,0.2,0.1,,2.8,14.8,.465,.465,,.843,.516,.465,F-G,BALBUFCHIHOU,marinja01
196,Stephon Marbury,1996-97,2008-09,19-31,846,816,2,37.7,6.8,15.7,5.6,12.1,1.2,3.6,4.5,5.7,0.7,2.3,3.0,7.6,1.2,0.1,3.0,2.4,19.3,.433,.465,.325,.784,.528,.470,G,BOSMINNJNNYKPHO,marbust01
197,Pete Maravich,1970-71,1979-80,23-32,658,4,5,37.0,9.4,21.3,9.4,21.3,0.0,0.0,5.4,6.6,0.6,2.2,4.2,5.4,0.9,0.2,0.8,2.8,24.2,.441,.441,.667,.820,.500,.441,G,ATLBOSNOJUTA,maravpe01
198,Danny Manning,1988-89,2002-03,22-36,883,398,2,27.4,5.7,11.1,5.6,10.9,0.0,0.2,2.6,3.5,1.7,3.5,5.2,2.3,1.1,0.9,2.1,3.3,14.0,.511,.517,.206,.729,.552,.513,F-C,ATLDALDETLACMILPHOUTA,mannida01
199,Moses Malone,1976-77,1994-95,21-39,1329,784,12,33.9,7.1,14.5,7.1,14.4,0.0,0.1,6.4,8.3,5.1,7.1,12.2,1.4,0.8,1.3,2.9,2.3,20.6,.491,.492,.100,.769,.569,.491,C-F,ATLBUFHOUMILPHISASWSB,malonmo01
200,Karl Malone,1985-86,2003-04,22-40,1476,1471,14,37.2,9.2,17.8,9.1,17.5,0.1,0.2,6.6,8.9,2.4,7.7,10.1,3.6,1.4,0.8,3.1,3.1,25.0,.516,.519,.274,.742,.577,.518,F,LALUTA,malonka01
201,Jeff Malone,1983-84,1995-96,22-34,905,755,2,32.8,7.8,16.2,7.7,15.9,0.1,0.4,3.3,3.7,0.6,2.0,2.6,2.4,0.6,0.1,1.7,1.9,19.0,.484,.489,.268,.871,.533,.487,G,MIAPHIUTAWSB,malonje01
202,Dan Majerle,1988-89,2001-02,23-36,955,454,3,31.6,4.1,9.6,2.7,5.6,1.4,4.0,1.7,2.4,1.2,3.3,4.5,2.9,1.3,0.4,1.2,2.0,11.4,.431,.482,.358,.741,.538,.505,G-F,CLEMIAPHO,majerda01
203,Jamaal Magloire,2000-01,2011-12,22-33,680,314,1,21.5,2.6,5.4,2.6,5.4,0.0,0.0,2.0,3.2,2.1,4.4,6.5,0.6,0.3,0.9,1.5,2.6,7.2,.480,.481,.000,.639,.531,.480,C,CHHDALMIAMILNJNNOHPORTOR,magloja01
204,Ed Macauley,1949-50,1958-59,21-30,641,,7,28.2,5.8,13.4,5.8,13.4,,,5.9,7.7,,,6.7,3.2,,,,2.6,17.5,.436,.436,,.761,.522,.436,C-F,BOSSTBSTL,macaued01
205,Maurice Lucas,1976-77,1987-88,24-35,855,244,4,29.0,5.7,12.0,5.7,12.0,0.0,0.0,3.0,4.0,2.5,6.3,8.8,2.3,0.7,0.6,2.1,3.4,14.4,.473,.474,.111,.763,.523,.473,F-C,LALNJNNYKPHOPORSEA,lucasma01
206,Jerry Lucas,1963-64,1973-74,23-33,829,,7,38.8,6.9,13.8,6.9,13.8,,,3.2,4.1,0.1,0.4,15.6,3.3,0.0,0.0,,2.9,17.0,.499,.499,,.783,.544,.499,F-C,CINNYKSFW,lucasje01
207,Kyle Lowry,2006-07,2022-23,20-36,1074,831,6,31.9,4.7,11.1,2.8,5.8,1.9,5.3,3.3,4.1,0.8,3.6,4.4,6.3,1.3,0.3,2.3,2.7,14.6,.424,.475,.367,.815,.569,.511,G,HOUMEMMIATOR,lowryky01
208,Clyde Lovellette,1953-54,1963-64,24-34,704,,4,27.1,6.8,15.3,6.8,15.3,,,3.4,4.5,,,9.5,1.6,,,,3.3,17.0,.443,.443,,.757,.491,.443,C-F,BOSCINMNLSTL,lovelcl01
209,Kevin Love,2008-09,2022-23,20-34,870,679,5,30.2,5.6,12.7,3.8,7.9,1.8,4.8,4.0,4.8,2.5,7.9,10.4,2.3,0.6,0.4,1.9,2.0,17.0,.439,.481,.370,.830,.571,.509,F,CLEMIAMIN,loveke01
210,Bob Love,1966-67,1976-77,24-34,789,,3,31.8,6.9,16.1,6.9,16.1,,,3.8,4.7,0.7,1.3,5.9,1.4,0.3,0.1,,2.7,17.6,.429,.429,,.805,.485,.429,F,CHICINMILNYNSEA,lovebo01
211,Brook Lopez,2008-09,2022-23,20-34,942,902,1,30.2,6.3,12.6,5.4,10.2,0.8,2.4,3.0,3.8,2.0,4.2,6.3,1.4,0.6,1.8,1.7,2.7,16.4,.496,.532,.346,.795,.573,.529,C,BRKLALMILNJN,lopezbr01
212,Damian Lillard,2012-13,2022-23,22-32,769,769,7,36.3,8.2,18.6,5.1,10.3,3.1,8.3,5.8,6.4,0.6,3.6,4.2,6.7,1.0,0.3,2.8,1.9,25.2,.439,.494,.372,.895,.588,.523,G,POR,lillada01
213,Reggie Lewis,1987-88,1992-93,22-27,450,352,1,32.6,7.1,14.6,7.0,14.3,0.1,0.3,3.3,4.0,1.3,3.0,4.3,2.6,1.3,0.9,1.6,2.8,17.6,.488,.494,.200,.824,.538,.490,G-F,BOS,lewisre01
214,Rashard Lewis,1998-99,2013-14,19-34,1049,842,2,32.0,5.4,11.9,3.7,7.5,1.7,4.4,2.4,3.0,1.4,3.8,5.2,1.7,1.1,0.5,1.5,2.3,14.9,.452,.491,.386,.805,.563,.524,F,MIAORLSEAWAS,lewisra02
215,Fat Lever,1982-83,1993-94,22-33,752,599,2,31.7,5.6,12.6,5.4,11.9,0.2,0.7,2.4,3.1,1.9,4.1,6.0,6.2,2.2,0.3,2.0,2.4,13.9,.447,.455,.310,.771,.496,.455,G,DALDENPOR,leverfa01
216,Kawhi Leonard,2011-12,2022-23,20-31,623,594,5,31.5,7.0,14.2,5.5,10.3,1.5,4.0,4.0,4.6,1.2,5.2,6.4,3.0,1.7,0.6,1.6,1.7,19.6,.495,.537,.387,.859,.602,.549,F,LACSASTOR,leonaka01
217,David Lee,2005-06,2016-17,22-33,829,505,2,29.3,5.5,10.3,5.5,10.3,0.0,0.0,2.5,3.2,2.6,6.2,8.8,2.2,0.8,0.4,1.8,2.6,13.5,.535,.537,.034,.772,.577,.536,F,BOSDALGSWNYKSAS,leeda02
