Rk,Player,WS,ORtg,DRtg,VORP,PER,TRB%,USG%,TOV%,AST%,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
197,Juwan Howard,59.4,102,107,3.8,14.6,11.8,22.4,13.6,12.7,1994-95,2012-13,21-39,1208,900,1,30.3,5.4,11.5,5.4,11.5,0.0,0.0,2.5,3.3,1.9,4.2,6.1,2.2,0.7,0.3,2.0,2.9,13.4,.469,.470,.120,.764,.514,.469,F,CHADALDENHOUMIAORLPORWASWSB,howarju01
198,Josh Howard,38.0,108,105,10.0,16.7,10.8,23.0,9.4,9.0,2003-04,2012-13,23-32,507,403,1,30.3,5.4,12.2,4.8,10.1,0.7,2.0,2.8,3.6,1.7,4.0,5.7,1.6,1.0,0.5,1.4,2.6,14.3,.448,.471,.332,.770,.522,.476,F-G,DALMINUTAWAS,howarjo01
199,Dwight Howard,141.7,111,100,39.0,21.3,21.1,22.3,17.0,7.3,2004-05,2021-22,19-36,1242,1078,8,31.8,5.7,9.7,5.7,9.6,0.0,0.1,4.3,7.6,3.3,8.4,11.8,1.3,0.9,1.8,2.7,3.1,15.7,.587,.590,.214,.567,.602,.588,C,ATLCHOHOULALORLPHIWAS,howardw01
200,Allan Houston,55.3,105,107,15.0,14.9,5.1,24.9,11.7,13.1,1993-94,2004-05,22-33,839,727,2,33.7,6.4,14.3,4.8,10.5,1.6,3.9,3.1,3.6,0.4,2.5,2.9,2.4,0.7,0.2,2.1,2.5,17.3,.444,.460,.402,.863,.546,.498,G,DETNYK,houstal01
201,Jeff Hornacek,108.9,117,108,42.1,17.7,6.2,19.7,12.8,23.4,1986-87,1999-00,23-36,1077,910,1,31.5,5.5,11.1,4.7,9.2,0.8,1.9,2.8,3.1,0.9,2.5,3.4,4.9,1.4,0.2,1.8,2.2,14.5,.496,.515,.403,.877,.582,.530,G,PHIPHOUTA,hornaje01
202,Al Horford,106.2,116,105,40.2,18.3,14.2,18.6,11.0,16.4,2007-08,2022-23,21-36,1010,1000,5,32.1,5.6,10.9,4.8,8.9,0.7,2.0,1.5,2.0,2.0,6.1,8.1,3.3,0.8,1.2,1.5,2.2,13.4,.513,.544,.373,.759,.571,.547,C-F,ATLBOSOKCPHI,horfoal01
203,Lionel Hollins,22.9,97,103,3.1,13.0,4.7,20.5,18.2,22.1,1975-76,1984-85,22-31,673,234,1,27.4,4.8,10.7,4.7,10.6,0.0,0.1,2.1,2.8,0.6,1.8,2.4,4.5,1.6,0.3,2.0,2.7,11.6,.444,.448,.149,.741,.486,.445,G,DETHOUPHIPORSDC,hollili01
204,Jrue Holiday,62.9,108,109,27.2,17.4,6.7,23.6,15.3,30.8,2009-10,2022-23,19-32,902,821,2,33.1,6.5,14.0,5.0,10.0,1.5,4.0,2.0,2.6,0.9,3.2,4.1,6.5,1.5,0.5,2.7,2.2,16.4,.462,.500,.365,.783,.542,.514,G,MILNOPPHI,holidjr01
205,Tyrone Hill,56.2,108,103,0.8,14.0,18.0,16.5,15.2,4.6,1990-91,2003-04,22-35,801,610,1,28.0,3.5,7.0,3.5,7.0,0.0,0.0,2.3,3.6,3.0,5.6,8.6,0.8,0.8,0.5,1.6,3.6,9.4,.502,.503,.000,.643,.544,.502,F,CLEGSWMIAMILPHI,hillty01
206,Grant Hill,99.9,110,106,43.6,19.0,10.5,23.7,13.7,21.9,1994-95,2012-13,22-40,1026,972,7,33.9,6.2,12.8,6.0,12.1,0.2,0.7,4.1,5.4,1.1,4.9,6.0,4.1,1.2,0.6,2.4,2.3,16.7,.483,.493,.314,.769,.551,.492,F-G,DETLACORLPHO,hillgr01
207,Roy Hibbert,35.9,103,103,3.5,15.5,14.1,20.4,13.9,9.2,2008-09,2016-17,22-30,662,586,2,24.8,4.0,8.5,4.0,8.5,0.0,0.0,2.1,2.7,2.3,4.0,6.3,1.3,0.4,1.7,1.6,3.1,10.0,.465,.466,.250,.755,.514,.465,C,CHODENINDLAL,hibbero01
208,Spencer Haywood,61.4,100,100,7.7,17.7,13.8,22.9,14.5,7.9,1970-71,1982-83,21-33,760,88,4,33.7,7.6,16.4,7.6,16.4,0.0,0.0,4.0,5.0,2.0,4.2,9.3,1.8,0.5,0.8,0.9,2.9,19.2,.465,.465,.125,.800,.517,.465,F-C,LALNOJNYKSEAWSB,haywosp01
209,Gordon Hayward,62.0,112,110,23.0,17.1,8.1,22.5,12.5,18.6,2010-11,2022-23,20-32,784,621,1,31.1,5.4,11.9,4.0,8.2,1.4,3.7,3.4,4.1,0.8,3.7,4.5,3.5,1.0,0.4,2.0,1.7,15.5,.455,.494,.369,.825,.568,.512,F-G,BOSCHOUTA,haywago01
210,Elvin Hayes,120.8,101,97,21.4,17.7,15.6,22.6,12.5,7.0,1968-69,1983-84,23-38,1303,129,12,38.4,8.4,18.6,8.4,18.6,0.0,0.0,4.1,6.1,2.1,5.4,12.5,1.8,0.7,1.4,1.0,3.2,21.0,.452,.453,.147,.670,.491,.452,F-C,BALCAPHOUSDRWSB,hayesel01
211,Hersey Hawkins,90.6,115,107,32.6,16.3,6.4,19.4,12.9,13.9,1988-89,2000-01,22-34,983,896,1,32.6,5.0,10.8,3.7,7.6,1.2,3.2,3.5,4.1,0.8,2.8,3.6,2.9,1.7,0.3,1.9,2.1,14.7,.461,.488,.394,.870,.585,.518,G,CHHCHIPHISEA,hawkihe01
212,John Havlicek,131.7,101,99,11.5,17.5,7.4,21.3,13.3,19.5,1962-63,1977-78,22-37,1270,,13,36.6,8.3,18.8,8.3,18.8,,,4.2,5.2,0.5,1.1,6.3,4.8,0.4,0.1,0.2,2.6,20.8,.439,.439,,.815,.492,.439,F-G,BOS,havlijo01
213,Devin Harris,54.9,109,109,15.5,16.0,5.2,21.6,14.9,26.5,2004-05,2018-19,21-35,985,448,1,24.3,3.5,8.2,2.7,5.6,0.8,2.6,2.8,3.6,0.3,1.9,2.2,3.9,1.0,0.2,1.7,2.2,10.8,.432,.481,.325,.796,.551,.483,G,ATLDALDENNJNUTA,harride01
214,James Harden,157.8,118,107,75.9,24.4,9.1,30.0,15.6,34.0,2009-10,2022-23,20-33,996,782,10,34.8,7.3,16.5,4.5,8.9,2.8,7.6,7.4,8.6,0.8,4.9,5.7,7.0,1.5,0.5,3.7,2.6,24.7,.442,.510,.362,.860,.609,.525,G,BRKHOUOKCPHI,hardeja01
215,Tim Hardaway,85.0,110,108,39.6,18.6,5.3,24.3,14.6,37.9,1989-90,2002-03,23-36,867,770,5,35.3,6.5,15.1,4.7,10.1,1.8,5.0,2.9,3.8,0.6,2.7,3.3,8.2,1.6,0.1,2.9,2.3,17.7,.431,.469,.355,.782,.530,.490,G,DALDENGSWINDMIA,hardati01
216,Anfernee Hardaway,61.9,108,105,26.9,17.4,7.6,22.1,15.2,24.3,1993-94,2007-08,22-36,704,557,4,33.7,5.7,12.4,5.0,10.1,0.7,2.3,3.1,4.0,1.4,3.1,4.5,5.0,1.6,0.4,2.5,2.2,15.2,.458,.489,.316,.774,.535,.486,G-F,MIANYKORLPHO,hardaan01
217,Richard Hamilton,62.8,105,108,13.2,16.5,5.7,26.8,11.7,19.9,1999-00,2012-13,21-34,921,783,3,32.1,6.5,14.4,5.9,12.8,0.6,1.7,3.5,4.1,0.9,2.2,3.1,3.4,0.8,0.1,2.1,2.5,17.1,.449,.463,.346,.852,.525,.469,G-F,CHIDETWAS,hamilri01
