Rk,Player,WS,ORtg,DRtg,VORP,PER,TRB%,USG%,TOV%,AST%,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
318,Giannis Antetokounmpo,96.0,116,104,48.4,24.9,16.0,28.9,13.7,25.0,2013-14,2022-23,19-28,716,651,7,32.5,8.2,15.3,7.5,12.9,0.7,2.4,5.6,7.8,1.8,7.8,9.6,4.7,1.1,1.3,3.0,3.0,22.6,.537,.583,.288,.709,.605,.559,F-G,MIL,antetgi01
319,Kenny Anderson,62.5,108,106,21.9,16.4,5.7,21.3,14.1,33.2,1991-92,2004-05,21-34,858,693,1,30.1,4.7,11.1,4.0,9.2,0.6,1.8,2.6,3.3,0.8,2.3,3.1,6.1,1.5,0.1,2.1,2.3,12.6,.421,.436,.346,.790,.501,.449,G,ATLBOSCHHINDLACNJNNOHPORSEA,anderke01
320,Ray Allen,145.1,114,108,57.6,18.6,6.8,23.8,11.4,16.5,1996-97,2013-14,21-38,1300,1149,10,35.6,6.6,14.6,4.3,8.9,2.3,5.7,3.4,3.8,0.9,3.1,4.1,3.4,1.1,0.2,2.1,2.2,18.9,.452,.485,.400,.894,.580,.530,G,BOSMIAMILSEA,allenra02
321,Jarrett Allen,44.2,128,108,10.9,20.0,17.6,16.4,12.9,7.8,2017-18,2022-23,19-24,406,341,1,27.6,4.7,7.5,4.7,7.3,0.0,0.3,2.5,3.5,2.8,6.1,8.9,1.4,0.6,1.3,1.3,2.1,12.0,.630,.645,.183,.705,.662,.633,C-F,BRKCLE,allenja01
322,LaMarcus Aldridge,115.7,113,107,33.4,20.7,13.8,25.7,8.0,10.2,2006-07,2021-22,21-36,1076,997,7,33.7,7.7,15.7,7.5,15.0,0.2,0.7,3.4,4.2,2.6,5.5,8.1,1.9,0.7,1.1,1.5,2.4,19.1,.493,.500,.320,.813,.544,.499,F-C,BRKPORSAS,aldrila01
323,Danny Ainge,71.5,114,108,21.9,14.7,5.6,18.5,12.7,20.8,1981-82,1994-95,22-35,1042,508,1,26.6,4.5,9.5,3.5,7.0,1.0,2.5,1.6,1.9,0.7,2.0,2.7,4.0,1.1,0.1,1.5,2.4,11.5,.469,.502,.378,.846,.555,.519,G,BOSPHOPORSAC,aingeda01
324,Mark Aguirre,67.8,109,110,24.4,19.0,9.2,29.1,11.9,16.9,1981-82,1993-94,22-34,923,639,3,30.0,7.8,16.1,7.4,14.7,0.4,1.4,4.0,5.4,1.8,3.1,5.0,3.1,0.7,0.3,2.5,2.8,20.0,.484,.500,.312,.741,.542,.498,F-G,DALDETLAC,aguirma01
325,Bam Adebayo,42.5,117,107,14.3,20.0,16.3,21.6,15.0,19.0,2017-18,2022-23,20-25,415,311,2,29.4,5.6,10.2,5.6,10.1,0.0,0.1,3.4,4.5,2.2,6.3,8.5,3.4,1.0,0.9,2.2,2.5,14.7,.553,.560,.129,.754,.604,.554,C-F,MIA,adebaba01
326,Michael Adams,46.9,112,110,19.9,16.6,5.0,20.2,13.5,28.2,1985-86,1995-96,23-33,653,510,1,31.3,5.0,12.0,3.5,7.6,1.5,4.4,3.3,3.9,0.6,2.3,2.9,6.4,1.7,0.1,2.1,1.8,14.7,.415,.462,.332,.849,.536,.475,G,CHHDENSACWSB,adamsmi01
327,Alvan Adams,73.5,105,100,33.0,18.3,14.1,22.0,17.8,21.4,1975-76,1987-88,21-33,988,342,1,27.5,5.8,11.6,5.8,11.6,0.0,0.0,2.5,3.2,2.0,5.0,7.0,4.1,1.3,0.8,2.2,3.3,14.1,.498,.498,.133,.788,.541,.498,C-F,PHO,adamsal01
328,Shareef Abdur-Rahim,71.2,108,107,21.9,19.0,12.5,25.0,13.5,13.6,1996-97,2007-08,20-31,830,704,1,34.8,6.5,13.9,6.4,13.2,0.2,0.6,4.8,6.0,2.3,5.3,7.5,2.5,1.0,0.8,2.6,2.8,18.1,.472,.480,.297,.810,.549,.479,F,ATLPORSACVAN,abdursh01
329,Kareem Abdul-Jabbar,273.4,115,99,85.7,24.6,15.7,24.3,13.4,14.6,1969-70,1988-89,22-41,1560,625,19,36.8,10.2,18.1,10.2,18.1,0.0,0.0,4.3,6.0,1.9,6.0,11.2,3.6,0.7,2.0,1.6,3.0,24.6,.559,.560,.056,.721,.592,.559,C,LALMIL,abdulka01
