Rk,Player,ORtg,DRtg,PER,TRB%,AST%,STL%,BLK%,TOV%,USG%,From,To,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
368,Shai Gilgeous-Alexander,125,113,27.2,7.3,25.7,2.2,2.5,10.1,32.8,2022-23,2022-23,24,68,68,35.5,10.4,20.3,9.5,17.8,0.9,2.5,9.8,10.9,0.9,4.0,4.8,5.5,1.6,1.0,2.8,2.8,31.4,.510,.533,.345,.905,.626,.531,G,OKC,gilgesh01
369,Josh Giddey,109,114,17.1,13.6,29.9,1.1,1.2,15.1,24.6,2022-23,2022-23,20,76,76,31.1,7.1,14.7,6.1,11.6,1.0,3.1,1.4,1.9,1.9,5.9,7.9,6.2,0.8,0.4,2.8,1.9,16.6,.482,.524,.325,.731,.533,.516,G,OKC,giddejo01
370,Taj Gibson,114,115,11.4,10.8,9.6,1.5,2.1,15.3,15.3,2022-23,2022-23,37,49,2,9.8,1.3,2.6,1.2,2.1,0.2,0.5,0.6,0.9,0.7,1.2,1.9,0.7,0.3,0.2,0.5,1.7,3.4,.520,.564,.333,.714,.585,.552,F-C,WAS,gibsota01
371,Paul George,113,113,19.6,9.9,24.2,2.1,0.9,13.4,29.5,2022-23,2022-23,32,56,56,34.6,8.2,17.9,5.4,10.3,2.8,7.6,4.6,5.3,0.8,5.3,6.1,5.1,1.5,0.4,3.1,2.8,23.8,.457,.521,.371,.871,.588,.536,F,LAC,georgpa01
372,Rudy Gay,101,117,9.0,10.8,9.4,1.1,1.9,10.7,17.7,2022-23,2022-23,36,56,0,14.6,1.9,5.1,1.4,2.8,0.6,2.3,0.8,0.9,0.6,2.3,2.9,1.0,0.3,0.3,0.7,1.2,5.2,.380,.484,.254,.857,.475,.437,F,UTA,gayru01
373,Luka Garza,130,117,23.0,14.5,11.8,0.6,0.7,9.2,26.9,2022-23,2022-23,24,28,0,8.7,2.3,4.1,1.8,2.8,0.5,1.4,1.5,1.9,1.2,1.1,2.3,0.6,0.1,0.1,0.5,1.5,6.5,.543,.636,.359,.788,.652,.603,F-C,MIN,garzalu01
374,Usman Garuba,119,115,12.9,17.4,8.8,2.2,2.9,19.2,10.5,2022-23,2022-23,20,75,1,12.9,1.1,2.4,0.8,1.6,0.3,0.8,0.4,0.6,1.6,2.5,4.1,0.9,0.6,0.4,0.6,1.8,3.0,.486,.525,.407,.617,.569,.554,F,HOU,garubus01
375,Darius Garland,118,113,18.8,4.5,34.1,1.7,0.3,13.5,26.9,2022-23,2022-23,23,69,69,35.5,7.6,16.4,5.1,10.4,2.4,6.0,4.0,4.7,0.4,2.3,2.7,7.8,1.2,0.1,2.9,2.1,21.6,.462,.492,.410,.863,.587,.537,G,CLE,garlada01
376,Daniel Gafford,135,113,19.7,15.0,7.5,1.0,5.2,15.1,15.2,2022-23,2022-23,24,78,47,20.6,3.7,5.1,3.7,5.1,0.0,0.0,1.6,2.4,2.1,3.5,5.6,1.1,0.4,1.3,1.1,2.4,9.0,.732,.732,,.679,.739,.732,F,WAS,gaffoda01
377,Wenyen Gabriel,123,113,14.4,15.0,4.8,1.2,2.9,13.4,14.1,2022-23,2022-23,25,68,2,15.1,2.3,3.8,2.1,3.3,0.1,0.5,0.8,1.2,1.7,2.5,4.2,0.5,0.4,0.5,0.7,2.1,5.5,.596,.647,.278,.619,.626,.615,F,LAL,gabriwe01
378,Markelle Fultz,113,114,16.6,7.4,29.8,2.4,1.4,15.8,21.3,2022-23,2022-23,24,60,60,29.6,5.8,11.3,5.4,9.9,0.5,1.5,1.9,2.4,1.2,2.8,3.9,5.7,1.5,0.4,2.3,2.2,14.0,.514,.544,.310,.783,.564,.534,G,ORL,fultzma01
379,De'Aaron Fox,119,117,21.8,7.2,29.6,1.6,0.8,10.6,30.1,2022-23,2022-23,25,73,73,33.4,9.3,18.2,7.7,13.2,1.6,5.0,4.7,6.0,0.5,3.6,4.2,6.1,1.1,0.3,2.5,2.4,25.0,.512,.584,.324,.780,.599,.557,G,SAC,foxde01
380,Evan Fournier,98,116,6.9,5.9,10.6,1.7,0.6,11.2,18.4,2022-23,2022-23,30,27,7,17.0,2.1,6.1,0.8,1.9,1.3,4.2,0.7,0.8,0.1,1.7,1.8,1.3,0.6,0.1,0.8,1.7,6.1,.337,.404,.307,.857,.471,.443,G-F,NYK,fournev01
381,Trent Forrest,93,118,6.1,7.3,16.5,1.2,0.6,19.7,11.6,2022-23,2022-23,24,23,3,12.0,1.1,2.6,1.1,2.5,0.0,0.1,0.1,0.1,0.2,1.4,1.6,1.7,0.3,0.1,0.7,0.7,2.3,.417,.431,.000,.667,.424,.417,G,ATL,forretr01
382,Bryn Forbes,99,118,6.2,3.1,8.2,1.2,0.7,11.8,16.2,2022-23,2022-23,29,25,0,10.7,1.2,3.3,0.6,1.5,0.6,1.8,0.6,0.6,0.2,0.4,0.6,0.7,0.3,0.1,0.5,0.9,3.6,.361,.432,.304,1.000,.497,.446,G,MIN,forbebr01
383,Simone Fontecchio,101,120,8.0,6.1,7.5,0.9,0.9,10.5,20.2,2022-23,2022-23,27,52,6,14.7,2.2,6.0,1.0,2.3,1.2,3.7,0.7,0.8,0.6,1.1,1.7,0.8,0.3,0.2,0.8,1.2,6.3,.369,.430,.330,.795,.495,.470,F,UTA,fontesi01
384,Malachi Flynn,105,117,8.7,6.2,13.7,1.5,0.6,8.9,17.4,2022-23,2022-23,24,53,2,13.0,1.6,4.6,0.8,2.1,0.9,2.5,0.5,0.6,0.3,1.2,1.4,1.3,0.4,0.1,0.5,1.2,4.6,.360,.367,.353,.758,.479,.457,G,TOR,flynnma01
