Rk,Player,From,To,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
470,Jalen Brunson,2022-23,2022-23,26,68,68,35.0,8.6,17.6,6.7,12.8,2.0,4.7,4.8,5.8,0.6,3.0,3.5,6.2,0.9,0.2,2.1,2.2,24.0,.491,.519,.416,.829,.597,.547,G,NYK,brunsja01
471,Troy Brown Jr.,2022-23,2022-23,23,76,45,24.5,2.6,6.1,1.2,2.4,1.4,3.7,0.4,0.5,0.8,3.2,4.1,1.3,0.8,0.2,0.6,1.6,7.1,.430,.505,.381,.872,.561,.545,G-F,LAL,browntr01
472,Sterling Brown,2022-23,2022-23,27,4,0,6.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.8,1.3,2.0,0.5,0.8,0.0,0.0,1.0,0.0,.000,.000,.000,,.000,.000,G,LAL,brownst02
473,Moses Brown,2022-23,2022-23,23,36,1,8.2,1.7,2.7,1.7,2.7,0.0,0.0,0.9,2.0,1.6,2.3,3.9,0.1,0.1,0.4,0.4,1.1,4.3,.635,.635,,.458,.607,.635,C,BRKLAC,brownmo01
474,Kendall Brown,2022-23,2022-23,19,6,0,6.7,0.7,1.2,0.7,1.0,0.0,0.2,0.2,0.3,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5,.571,.667,.000,.500,.571,.571,G-F,IND,brownke03
475,Jaylen Brown,2022-23,2022-23,26,67,67,35.9,10.1,20.6,7.7,13.4,2.4,7.3,3.9,5.1,1.2,5.7,6.9,3.5,1.1,0.4,2.9,2.6,26.6,.491,.576,.335,.765,.581,.550,F-G,BOS,brownja02
476,Greg Brown III,2022-23,2022-23,21,16,0,5.8,0.7,1.8,0.6,1.3,0.1,0.4,0.3,0.8,0.1,1.1,1.2,0.2,0.3,0.3,0.4,0.8,1.8,.393,.476,.143,.417,.421,.411,F,POR,browngr01
477,Bruce Brown,2022-23,2022-23,26,80,31,28.5,4.5,9.3,3.3,6.1,1.1,3.2,1.5,1.9,0.8,3.3,4.1,3.4,1.1,0.6,1.5,2.4,11.5,.483,.548,.358,.758,.571,.545,G,DEN,brownbr01
478,Dillon Brooks,2022-23,2022-23,27,73,73,30.3,5.4,13.6,3.4,7.6,2.0,6.0,1.6,2.1,0.6,2.7,3.3,2.6,0.9,0.2,1.4,3.3,14.3,.396,.451,.326,.779,.494,.468,F-G,MEM,brookdi01
479,Malcolm Brogdon,2022-23,2022-23,30,67,0,26.0,5.3,10.9,3.3,6.5,2.0,4.4,2.4,2.7,0.6,3.6,4.2,3.7,0.7,0.3,1.5,1.6,14.9,.484,.510,.444,.870,.615,.574,G,BOS,brogdma01
480,Oshae Brissett,2022-23,2022-23,24,65,2,16.7,1.9,4.9,1.2,2.5,0.7,2.4,1.6,2.2,1.0,2.4,3.4,0.7,0.5,0.2,0.5,1.2,6.1,.386,.457,.310,.717,.520,.461,F,IND,brissos01
481,Mikal Bridges,2022-23,2022-23,26,83,83,35.7,7.1,15.3,5.1,9.9,2.0,5.3,3.8,4.3,1.0,3.4,4.4,3.3,1.1,0.7,1.5,1.9,20.1,.468,.514,.382,.895,.587,.535,F-G,BRKPHO,bridgmi01
482,Christian Braun,2022-23,2022-23,21,76,6,15.5,1.9,3.8,1.4,2.5,0.4,1.3,0.5,0.8,0.6,1.8,2.4,0.8,0.5,0.2,0.5,1.3,4.7,.495,.565,.354,.625,.568,.554,G,DEN,braunch01
483,Jarrell Brantley,2022-23,2022-23,26,4,0,9.8,2.0,3.5,1.0,1.3,1.0,2.3,0.5,0.5,0.3,1.3,1.5,0.8,0.0,0.5,0.5,0.8,5.5,.571,.800,.444,1.000,.739,.714,F,UTA,brantja01
484,Malaki Branham,2022-23,2022-23,19,66,32,23.5,4.1,9.3,2.9,5.4,1.2,3.9,0.9,1.1,0.4,2.3,2.7,1.9,0.5,0.1,1.2,1.7,10.2,.440,.539,.302,.829,.524,.503,G,SAS,branhma01
485,Tony Bradley,2022-23,2022-23,25,12,0,2.8,0.5,1.0,0.3,0.6,0.3,0.4,0.3,0.3,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,1.6,.500,.429,.600,1.000,.690,.625,F-C,CHI,bradlto01
486,Jamaree Bouyea,2022-23,2022-23,23,5,0,14.2,1.2,2.8,0.8,1.6,0.4,1.2,0.2,0.4,0.2,1.0,1.2,0.8,0.8,0.4,0.8,1.2,3.0,.429,.500,.333,.500,.504,.500,G,MIAWAS,bouyeja01
487,James Bouknight,2022-23,2022-23,22,34,0,15.1,2.0,5.7,1.1,2.5,1.0,3.2,0.6,0.9,0.2,1.9,2.1,1.2,0.4,0.1,0.9,1.4,5.6,.358,.429,.303,.667,.463,.443,G,CHO,bouknja01
488,Chris Boucher,2022-23,2022-23,30,76,0,20.0,3.4,7.0,2.6,4.5,0.8,2.5,1.7,2.2,2.1,3.5,5.5,0.4,0.6,0.8,0.5,1.9,9.4,.493,.585,.328,.762,.590,.552,F,TOR,bouchch01
489,Brandon Boston Jr.,2022-23,2022-23,21,22,1,11.3,2.3,5.5,1.8,4.2,0.5,1.3,1.3,1.7,0.3,1.0,1.4,0.9,0.4,0.0,0.5,1.0,6.5,.418,.419,.414,.763,.515,.467,G-F,LAC,bostobr01
490,Devin Booker,2022-23,2022-23,26,53,53,34.6,9.9,20.1,7.8,14.2,2.1,6.0,5.8,6.8,0.9,3.7,4.5,5.5,1.0,0.3,2.7,3.0,27.8,.494,.554,.351,.855,.601,.546,G,PHO,bookede01
491,Leandro Bolmaro,2022-23,2022-23,22,14,0,4.9,0.2,1.4,0.2,1.1,0.0,0.3,0.0,0.0,0.3,0.2,0.5,0.5,0.2,0.1,0.5,0.7,0.4,.150,.188,.000,,.150,.150,F,UTA,bolmale01
492,Bol Bol,2022-23,2022-23,23,70,33,21.5,3.7,6.8,3.3,5.2,0.4,1.6,1.2,1.5,1.0,4.8,5.8,1.0,0.4,1.2,1.6,1.3,9.1,.546,.633,.265,.759,.603,.577,F-C,ORL,bolbo01
493,Bojan Bogdanović,2022-23,2022-23,33,59,59,32.1,7.3,14.9,4.8,9.0,2.5,6.0,4.5,5.1,0.6,3.2,3.8,2.6,0.6,0.1,2.3,1.9,21.6,.488,.539,.411,.884,.627,.570,G-F,DET,bogdabo02
494,Bogdan Bogdanović,2022-23,2022-23,30,54,9,27.9,5.1,11.3,2.4,4.6,2.7,6.7,1.2,1.4,0.4,2.6,3.1,2.8,0.8,0.3,1.2,1.6,14.0,.447,.506,.406,.831,.586,.566,G,ATL,bogdabo01
495,Buddy Boeheim,2022-23,2022-23,23,10,0,9.0,0.5,2.7,0.1,0.2,0.4,2.5,0.2,0.2,0.2,0.4,0.6,0.4,0.2,0.0,0.0,0.6,1.6,.185,.500,.160,1.000,.287,.259,G,DET,boehebu01
496,Bismack Biyombo,2022-23,2022-23,30,61,14,14.3,2.0,3.4,2.0,3.4,0.0,0.0,0.4,1.1,1.5,2.8,4.3,0.9,0.3,1.4,0.8,1.9,4.3,.578,.578,,.357,.555,.578,C-F,PHO,biyombi01
497,Goga Bitadze,2022-23,2022-23,23,38,1,12.0,1.8,3.3,1.7,2.6,0.2,0.7,0.6,1.1,1.6,2.0,3.6,1.0,0.4,0.7,0.6,1.7,4.4,.552,.636,.231,.548,.582,.576,C,INDORL,bitadgo01
498,Khem Birch,2022-23,2022-23,30,20,0,8.1,1.0,1.6,0.9,1.5,0.1,0.1,0.2,0.3,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2,.594,.600,.500,.800,.629,.609,C-F,TOR,birchkh01
499,Saddiq Bey,2022-23,2022-23,23,77,37,27.6,4.6,10.9,2.6,5.4,2.0,5.4,2.7,3.1,1.3,3.4,4.7,1.5,0.9,0.2,0.9,1.6,13.8,.422,.483,.361,.861,.564,.513,F,ATLDET,beysa01
500,Patrick Beverley,2022-23,2022-23,34,67,67,27.1,2.1,5.4,1.0,1.8,1.2,3.6,0.7,1.0,0.7,3.0,3.7,2.9,0.9,0.6,0.9,2.8,6.2,.400,.529,.335,.723,.534,.511,G,CHILAL,beverpa01
501,Dāvis Bertāns,2022-23,2022-23,30,45,1,10.9,1.5,3.6,0.3,0.4,1.2,3.1,0.3,0.3,0.2,1.0,1.2,0.5,0.2,0.2,0.2,1.2,4.6,.431,.737,.390,.867,.618,.603,F,DAL,bertada01
502,MarJon Beauchamp,2022-23,2022-23,22,52,11,13.5,1.8,4.7,0.9,1.9,0.9,2.7,0.5,0.7,0.7,1.5,2.2,0.7,0.4,0.1,0.9,1.4,5.1,.395,.485,.331,.730,.513,.492,G,MIL,beaucma01
503,Malik Beasley,2022-23,2022-23,26,81,27,25.8,4.6,11.6,1.7,3.4,2.9,8.1,0.6,0.8,0.4,3.1,3.5,1.5,0.8,0.1,1.1,1.3,12.7,.395,.484,.357,.769,.531,.520,G,LALUTA,beaslma01
504,Bradley Beal,2022-23,2022-23,29,50,50,33.5,8.9,17.6,7.3,13.2,1.6,4.4,3.8,4.6,0.8,3.1,3.9,5.4,0.9,0.7,2.9,2.1,23.2,.506,.552,.365,.842,.593,.551,G,WAS,bealbr01
505,Darius Bazley,2022-23,2022-23,22,43,1,14.3,1.9,4.3,1.5,3.0,0.5,1.2,0.9,1.6,0.8,2.4,3.2,0.9,0.5,0.8,0.6,1.0,5.2,.454,.485,.377,.543,.524,.508,F,OKCPHO,bazleda01
506,Nicolas Batum,2022-23,2022-23,34,78,19,21.9,2.1,4.9,0.5,0.8,1.6,4.1,0.4,0.6,0.8,3.0,3.8,1.6,0.7,0.6,0.6,1.9,6.1,.420,.563,.391,.708,.594,.583,F-G,LAC,batumni01
507,Keita Bates-Diop,2022-23,2022-23,27,67,42,21.7,3.5,6.9,2.7,4.8,0.8,2.1,1.8,2.2,1.0,2.7,3.7,1.5,0.7,0.3,0.8,0.9,9.7,.508,.557,.394,.793,.609,.568,F,SAS,bateske01
508,Charles Bassey,2022-23,2022-23,22,35,2,14.5,2.5,3.9,2.4,3.6,0.1,0.2,0.6,1.1,2.1,3.4,5.5,1.3,0.5,0.9,1.2,2.1,5.7,.644,.661,.375,.595,.658,.656,C,SAS,bassech01
509,Will Barton,2022-23,2022-23,32,56,2,17.7,2.5,6.5,1.3,3.3,1.2,3.2,0.7,0.8,0.3,2.2,2.4,2.0,0.5,0.2,0.9,1.0,6.8,.379,.391,.367,.787,.493,.470,G,TORWAS,bartowi01
510,RJ Barrett,2022-23,2022-23,22,73,73,33.9,7.0,16.1,5.3,10.8,1.7,5.3,4.0,5.4,0.8,4.2,5.0,2.8,0.4,0.2,2.2,2.5,19.6,.434,.495,.310,.740,.531,.485,G-F,NYK,barrerj01
511,Scottie Barnes,2022-23,2022-23,21,77,76,34.8,6.0,13.2,5.2,10.3,0.8,2.9,2.5,3.2,2.3,4.3,6.6,4.8,1.1,0.8,2.0,2.2,15.3,.456,.505,.281,.772,.524,.487,G-F,TOR,barnesc01
512,Harrison Barnes,2022-23,2022-23,30,82,82,32.5,4.6,9.6,3.0,5.3,1.6,4.3,4.3,5.0,1.1,3.4,4.5,1.6,0.7,0.1,1.0,1.3,15.0,.473,.553,.374,.847,.632,.556,F,SAC,barneha02
513,Dominick Barlow,2022-23,2022-23,19,28,0,14.6,1.6,3.1,1.6,2.9,0.0,0.1,0.6,0.9,1.6,2.0,3.6,0.9,0.4,0.7,0.5,2.0,3.9,.535,.561,.000,.720,.567,.535,F,SAS,barlodo01
514,Dalano Banton,2022-23,2022-23,23,31,2,9.0,1.8,4.2,1.3,2.5,0.5,1.6,0.5,0.8,0.4,1.1,1.5,1.2,0.4,0.4,0.6,1.1,4.6,.423,.506,.294,.708,.505,.481,G-F,TOR,bantoda01
515,Desmond Bane,2022-23,2022-23,24,58,58,31.7,7.8,16.2,4.9,9.2,2.9,7.0,3.1,3.5,0.7,4.3,5.0,4.4,1.0,0.4,2.2,2.6,21.5,.479,.534,.408,.883,.606,.568,G,MEM,banede01
516,Paolo Banchero,2022-23,2022-23,20,72,72,33.8,6.7,15.6,5.5,11.6,1.2,4.0,5.5,7.4,1.2,5.7,6.9,3.7,0.8,0.5,2.8,2.2,20.0,.427,.471,.298,.738,.529,.465,F,ORL,banchpa01
517,Mo Bamba,2022-23,2022-23,24,49,7,15.7,2.4,4.9,1.4,2.4,1.0,2.5,0.8,1.3,1.2,3.4,4.6,0.9,0.3,0.9,0.6,2.1,6.6,.485,.590,.387,.661,.602,.585,C,LALORL,bambamo01
518,LaMelo Ball,2022-23,2022-23,21,36,36,35.2,8.2,20.0,4.2,9.4,4.0,10.6,2.8,3.4,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3,.411,.450,.376,.836,.541,.510,G,CHO,ballla01
519,Patrick Baldwin Jr.,2022-23,2022-23,20,31,0,7.3,1.4,3.5,0.4,0.8,1.0,2.7,0.1,0.2,0.0,1.3,1.3,0.4,0.2,0.1,0.4,0.5,3.9,.394,.440,.381,.667,.546,.541,G-F,GSW,baldwpa01
520,Marvin Bagley III,2022-23,2022-23,23,42,25,23.6,4.8,9.1,4.4,7.5,0.5,1.6,1.9,2.6,2.2,4.2,6.4,0.9,0.5,0.7,1.1,1.9,12.0,.529,.579,.288,.750,.587,.554,F-C,DET,baglema01
521,Udoka Azubuike,2022-23,2022-23,23,36,4,10.0,1.6,2.0,1.6,2.0,0.0,0.0,0.2,0.6,0.9,2.4,3.3,0.3,0.2,0.4,0.5,0.9,3.5,.819,.819,,.350,.774,.819,C,UTA,azubuud01
522,Deandre Ayton,2022-23,2022-23,24,67,67,30.4,7.8,13.2,7.7,12.9,0.1,0.4,2.3,3.0,2.6,7.4,10.0,1.7,0.6,0.8,1.8,2.8,18.0,.589,.597,.292,.760,.617,.592,C,PHO,aytonde01
