,Player,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,Age,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
57,Grant Williams,4.7,12.9,7.4,1.1,2.2,14.2,12.5,21-24,288,58,3.6,8.1,1.9,3.5,1.7,4.6,1.5,1.9,1.5,4.3,5.9,2.0,0.8,0.9,1.5,4.1,10.5,0.451,0.546,0.379,0.773,0.588,0.558,F
58,Elliot Williams,2.4,9.5,10.1,1.4,0.2,14.2,16.6,24-26,85,2,4.3,10.5,3.0,6.5,1.3,4.0,2.5,3.5,0.8,3.0,3.9,2.4,1.1,0.1,2.0,3.8,12.2,0.406,0.464,0.313,0.717,0.51,0.466,G
60,Derrick Williams,4.1,16.8,5.6,1.2,0.8,9.6,20.1,21-26,362,97,5.4,12.4,4.4,9.0,1.0,3.4,3.7,5.2,1.3,5.4,6.7,1.2,0.8,0.4,1.6,2.1,15.6,0.438,0.488,0.306,0.713,0.531,0.48,F
61,Deron Williams,1.1,9.3,34.0,1.6,0.6,15.2,22.7,28-32,339,298,5.7,13.3,3.9,8.4,1.8,4.9,3.2,3.8,0.4,2.9,3.3,7.3,1.1,0.3,2.7,2.6,16.3,0.426,0.462,0.365,0.841,0.545,0.493,G
71,Andrew Wiggins,4.0,10.3,10.8,1.4,1.7,9.8,24.9,19-27,635,635,7.4,16.4,5.9,12.2,1.5,4.3,3.5,4.9,1.3,3.3,4.6,2.4,1.0,0.7,2.0,2.3,19.8,0.449,0.483,0.354,0.72,0.532,0.495,F-G
72,Aaron Wiggins,4.9,11.5,8.4,1.3,0.9,12.4,14.9,23-24,120,49,4.9,10.1,3.6,6.3,1.3,3.7,1.7,2.2,1.7,3.9,5.6,2.1,1.0,0.4,1.6,2.9,12.9,0.489,0.573,0.346,0.776,0.582,0.553,G
76,Hassan Whiteside,14.2,34.0,4.3,1.1,7.5,12.4,21.4,25-32,492,332,7.7,13.1,7.7,13.0,0.0,0.1,3.1,5.0,4.6,11.2,15.8,0.9,0.8,3.2,2.2,3.8,18.4,0.587,0.589,0.308,0.606,0.603,0.588,C
77,Isaiah Whitehead,2.1,10.0,17.9,1.3,1.6,20.3,19.2,21-22,89,26,4.8,11.7,3.8,8.4,1.0,3.3,2.1,2.6,0.7,3.4,4.1,4.2,1.0,0.8,3.3,3.9,12.7,0.411,0.452,0.305,0.788,0.493,0.454,G
82,Derrick White,2.1,11.5,20.3,1.4,2.6,11.3,18.9,23-28,345,229,5.5,12.4,3.6,7.0,1.9,5.4,3.0,3.5,0.7,3.9,4.6,5.2,1.0,1.1,1.8,2.9,16.0,0.447,0.521,0.352,0.846,0.572,0.524,G
84,Coby White,1.4,12.7,17.7,1.1,0.5,11.6,21.2,19-22,269,74,6.1,14.6,3.3,7.0,2.8,7.6,1.8,2.1,0.4,4.1,4.5,4.4,0.8,0.2,2.0,2.8,16.9,0.419,0.476,0.367,0.854,0.542,0.515,G
86,Russell Westbrook,5.1,21.0,44.4,2.3,0.8,16.1,33.1,24-34,782,733,8.9,20.2,7.4,15.5,1.4,4.7,5.6,7.3,1.7,7.0,8.7,9.4,1.7,0.3,4.5,2.8,24.8,0.44,0.48,0.308,0.764,0.53,0.476,G
87,David West,6.4,18.8,18.1,1.6,2.8,13.4,21.4,32-37,438,238,6.7,13.3,6.6,13.0,0.1,0.3,2.6,3.4,2.0,6.3,8.2,3.9,1.1,1.3,2.3,3.1,16.1,0.506,0.511,0.273,0.77,0.546,0.509,F-C
91,Martell Webster,2.4,11.2,8.6,1.1,0.6,10.3,16.0,26-28,186,75,4.3,10.0,2.0,4.4,2.3,5.7,2.5,3.0,0.8,3.5,4.3,2.0,0.7,0.3,1.3,2.6,13.3,0.425,0.463,0.397,0.829,0.584,0.538,G-F
101,C.J. Watson,2.0,8.9,18.0,2.2,0.5,14.4,16.4,28-32,295,45,4.1,9.9,2.5,5.6,1.6,4.3,2.3,2.8,0.6,2.9,3.5,4.2,1.5,0.2,1.9,2.7,12.1,0.415,0.446,0.374,0.818,0.544,0.496,G
102,Trendon Watford,5.3,19.0,15.4,1.4,1.9,14.6,16.7,21-22,110,22,5.7,10.4,5.1,8.6,0.6,1.8,2.5,3.4,1.7,5.9,7.7,3.7,1.0,0.7,2.0,4.1,14.4,0.547,0.592,0.333,0.737,0.609,0.576,F
105,Yuta Watanabe,4.3,16.5,7.1,1.5,2.1,8.9,14.0,24-28,179,9,4.2,9.6,2.3,4.7,1.9,5.0,1.4,2.0,1.4,5.3,6.7,1.8,1.1,0.8,1.0,3.0,11.8,0.439,0.492,0.39,0.687,0.561,0.54,F
107,P.J. Washington,4.1,15.7,11.4,1.5,3.1,12.0,18.7,21-24,260,219,5.7,12.8,3.6,7.0,2.1,5.7,1.7,2.5,1.4,5.1,6.5,2.8,1.1,1.2,1.9,3.1,15.3,0.45,0.519,0.366,0.711,0.554,0.532,F
111,T.J. Warren,5.0,11.0,7.0,1.6,1.5,6.9,21.8,21-29,374,236,7.9,15.7,7.0,13.0,0.9,2.7,2.4,3.0,1.7,3.6,5.2,1.5,1.2,0.6,1.3,3.0,19.2,0.506,0.537,0.354,0.78,0.563,0.536,F
114,Brad Wanamaker,1.7,9.7,20.4,1.9,1.0,16.3,16.1,29-32,191,3,4.1,9.8,3.3,7.0,0.9,2.8,3.1,3.4,0.6,3.3,3.8,5.4,1.4,0.4,2.2,3.6,12.2,0.421,0.47,0.3,0.907,0.539,0.464,G
117,Tyrone Wallace,2.8,11.9,10.4,1.6,1.1,13.6,17.2,23-27,112,19,4.7,11.1,4.3,9.4,0.4,1.7,2.2,3.3,0.9,4.0,5.0,2.7,1.2,0.5,2.0,4.0,11.9,0.422,0.462,0.207,0.656,0.474,0.438,G
119,Gerald Wallace,3.7,14.5,13.3,2.6,1.3,20.8,13.0,30-32,159,84,3.0,6.9,2.3,4.7,0.6,2.2,1.7,2.9,1.2,4.4,5.6,3.2,1.8,0.6,2.1,2.1,8.2,0.432,0.5,0.287,0.569,0.504,0.478,F
120,John Wall,1.8,11.6,43.4,2.4,1.6,16.7,28.6,22-32,512,474,7.4,17.0,6.1,13.2,1.3,3.8,4.2,5.5,0.6,3.7,4.3,9.5,1.7,0.7,3.9,2.2,20.2,0.433,0.463,0.329,0.776,0.521,0.47,G
122,Lonnie Walker IV,1.3,10.2,10.1,1.2,1.0,8.5,20.9,20-24,264,88,6.3,15.0,4.1,8.5,2.3,6.5,2.1,2.6,0.4,3.5,3.9,2.6,0.9,0.4,1.5,2.3,16.9,0.422,0.477,0.349,0.8,0.526,0.497,G
123,Kemba Walker,1.8,10.7,27.6,1.9,1.0,10.4,27.1,22-32,684,672,7.4,17.5,4.9,10.6,2.5,6.9,4.1,4.9,0.6,3.5,4.1,5.7,1.3,0.4,2.3,1.6,21.4,0.422,0.46,0.363,0.844,0.544,0.493,G
126,Dion Waiters,1.6,8.8,16.1,1.7,0.8,12.0,23.5,21-28,419,211,6.4,15.5,4.7,10.5,1.7,5.0,2.2,3.1,0.5,2.9,3.4,3.5,1.2,0.3,2.3,2.5,16.7,0.412,0.444,0.346,0.694,0.495,0.468,G
127,Ish Wainright,6.2,10.6,6.8,2.2,2.0,9.1,12.9,27-28,105,2,3.5,9.4,1.4,2.8,2.1,6.6,0.9,1.2,2.0,3.4,5.5,1.9,1.6,0.8,1.0,4.7,10.1,0.378,0.495,0.328,0.767,0.513,0.492,F
128,Moritz Wagner,5.6,19.6,11.3,1.4,1.7,13.8,20.6,21-25,253,55,6.3,12.9,4.6,7.5,1.7,5.4,4.0,4.8,1.9,6.5,8.3,2.7,1.1,0.7,2.4,5.1,18.3,0.49,0.615,0.319,0.822,0.611,0.557,F-C
