,Player,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,Age,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
350,Davon Reed,2.5,15.5,9.4,1.9,1.0,11.7,13.4,22-27,122,7,3.8,9.2,1.9,4.4,1.9,4.8,0.9,1.4,0.8,5.1,5.9,2.5,1.4,0.4,1.3,3.4,10.3,0.408,0.434,0.385,0.667,0.525,0.509,G
351,J.J. Redick,0.7,7.6,12.1,0.9,0.4,9.3,21.4,28-36,594,447,6.6,14.5,3.3,6.8,3.2,7.7,3.1,3.4,0.2,2.5,2.8,2.8,0.6,0.2,1.6,2.1,19.5,0.453,0.492,0.419,0.899,0.608,0.565,G
352,Cam Reddish,2.5,10.5,7.5,2.0,1.3,12.0,19.3,20-23,173,82,5.1,12.9,3.2,7.0,1.9,5.9,2.8,3.3,0.8,3.5,4.3,1.9,1.5,0.6,2.0,2.8,14.9,0.399,0.463,0.322,0.843,0.522,0.473,F
354,Austin Reaves,2.6,9.9,13.4,0.9,1.0,12.5,14.5,23-24,125,41,4.5,8.9,2.9,4.7,1.5,4.2,3.6,4.2,0.9,3.4,4.3,3.6,0.7,0.4,1.5,2.2,14.1,0.501,0.626,0.363,0.856,0.654,0.587,G
356,Zach Randolph,11.1,24.3,11.8,1.2,0.7,11.2,25.5,31-36,426,340,7.5,16.1,7.3,15.2,0.2,0.9,3.1,4.0,3.5,7.4,10.9,2.4,0.9,0.3,2.3,2.7,18.4,0.468,0.48,0.27,0.758,0.514,0.476,F-C
359,Julius Randle,6.5,25.5,18.9,1.1,1.2,14.1,26.5,20-28,595,515,7.7,16.4,6.4,12.6,1.3,3.8,4.5,6.1,2.2,8.4,10.6,4.1,0.8,0.5,3.1,3.5,21.2,0.47,0.51,0.336,0.745,0.556,0.509,F-C
360,Chasson Randle,1.3,8.4,15.4,1.5,0.5,14.7,16.4,23-27,119,7,4.2,10.4,2.2,4.9,2.0,5.5,2.4,3.0,0.4,2.8,3.2,3.9,1.1,0.2,2.0,3.7,12.7,0.401,0.447,0.361,0.799,0.542,0.496,G
364,Ivan Rabb,11.1,22.6,11.3,1.2,2.1,14.6,17.4,20-21,85,18,5.9,10.6,5.8,10.2,0.1,0.4,2.3,3.1,3.6,7.0,10.6,2.5,0.8,0.8,2.0,4.2,14.1,0.555,0.57,0.2,0.743,0.591,0.559,F
367,Immanuel Quickley,2.3,12.3,19.5,1.5,0.5,9.3,22.4,21-23,223,27,6.2,15.0,3.4,7.3,2.8,7.7,3.6,4.2,0.8,4.1,4.8,4.5,1.1,0.2,1.7,3.0,18.9,0.416,0.468,0.367,0.859,0.561,0.51,G
375,Payton Pritchard,3.4,10.8,15.9,1.3,0.5,11.1,18.0,23-25,185,9,5.5,12.8,2.3,4.8,3.2,8.0,0.9,1.0,1.1,3.6,4.7,4.0,0.9,0.2,1.7,2.5,15.1,0.43,0.478,0.4,0.89,0.57,0.555,G
376,Tayshaun Prince,2.9,12.1,9.9,1.1,0.8,8.5,13.8,32-35,293,217,4.1,9.4,3.6,8.2,0.5,1.2,0.9,1.3,0.9,3.7,4.6,2.3,0.7,0.4,0.9,1.3,9.5,0.431,0.441,0.368,0.701,0.475,0.455,F
377,Taurean Prince,2.2,14.6,10.8,1.6,1.5,13.9,19.5,22-28,424,222,5.5,13.1,3.0,6.4,2.5,6.7,2.1,2.5,0.7,4.9,5.6,2.6,1.2,0.6,2.3,3.1,15.6,0.421,0.473,0.372,0.818,0.549,0.516,F
379,Pablo Prigioni,3.6,9.2,24.4,3.1,0.1,23.8,10.9,35-38,270,51,2.6,6.2,1.0,2.0,1.6,4.2,0.6,0.7,1.1,2.8,4.0,6.0,2.1,0.0,2.0,3.4,7.5,0.425,0.522,0.379,0.872,0.574,0.554,G
380,Ronnie Price,2.3,7.0,21.3,3.2,0.6,18.5,13.7,29-33,189,40,3.0,8.5,1.6,4.0,1.4,4.5,1.1,1.4,0.8,2.2,3.0,5.3,2.3,0.3,2.1,4.5,8.3,0.347,0.401,0.3,0.756,0.456,0.426,G
381,A.J. Price,1.8,8.5,25.6,1.3,0.1,11.8,19.2,26-28,111,22,4.9,12.6,3.0,6.7,1.9,5.9,1.4,1.9,0.6,2.7,3.3,5.6,0.9,0.1,1.8,2.0,13.1,0.388,0.442,0.326,0.739,0.487,0.464,G
383,Phil Pressey,1.9,10.2,31.4,2.9,0.6,22.4,15.7,22-24,148,11,3.1,9.0,2.2,5.6,0.9,3.4,1.3,2.1,0.6,3.2,3.9,7.7,2.1,0.3,2.9,3.2,8.3,0.341,0.392,0.254,0.63,0.419,0.388,G
385,Norman Powell,1.8,10.8,10.3,1.7,1.1,10.9,21.8,22-29,481,196,6.6,14.2,4.3,8.2,2.3,6.1,3.4,4.1,0.6,3.5,4.1,2.4,1.3,0.4,2.0,2.9,19.0,0.465,0.524,0.386,0.827,0.592,0.548,G
388,Dwight Powell,9.3,17.2,8.0,1.7,2.1,11.0,15.1,23-31,587,243,5.3,8.9,4.9,7.5,0.4,1.3,3.3,4.4,3.0,5.5,8.6,1.9,1.2,0.9,1.3,4.3,14.3,0.599,0.654,0.292,0.741,0.661,0.621,F-C
390,Kristaps Porziņģis,6.2,21.5,9.3,1.2,4.9,9.0,27.0,20-27,402,401,8.0,17.7,5.9,11.8,2.1,5.9,4.5,5.4,2.0,7.2,9.2,2.0,0.8,2.1,2.0,3.5,22.7,0.453,0.5,0.359,0.827,0.563,0.512,F-C
391,Bobby Portis,9.2,24.1,8.7,1.2,1.4,9.4,22.1,20-27,523,142,7.5,15.8,5.7,11.2,1.8,4.6,1.8,2.4,3.1,8.2,11.3,2.0,0.9,0.6,1.8,3.0,18.6,0.474,0.513,0.381,0.754,0.551,0.53,F
392,Otto Porter Jr.,5.0,16.6,8.7,2.2,1.4,7.9,16.7,20-29,512,318,5.6,11.8,3.8,7.2,1.8,4.6,1.5,1.9,1.6,5.4,7.0,2.1,1.6,0.6,1.1,2.4,14.6,0.478,0.529,0.397,0.797,0.578,0.555,F
393,Michael Porter Jr.,5.4,20.1,6.1,1.2,2.1,8.3,22.1,21-24,187,133,7.9,15.6,4.7,8.0,3.2,7.6,2.0,2.5,1.7,6.5,8.1,1.5,0.8,0.8,1.5,2.7,21.0,0.506,0.59,0.417,0.797,0.627,0.608,F
394,Kevin Porter Jr.,2.9,12.8,25.8,1.8,0.9,16.9,23.7,19-22,196,146,6.5,15.1,4.1,8.3,2.4,6.8,2.9,4.0,1.0,4.1,5.1,6.0,1.3,0.4,3.4,3.1,18.3,0.431,0.491,0.357,0.725,0.544,0.511,G
396,Jordan Poole,1.4,9.3,19.8,1.3,0.8,13.2,26.1,20-23,266,115,7.2,17.0,4.1,8.0,3.1,9.0,4.1,4.7,0.5,3.1,3.6,4.7,0.9,0.3,2.9,3.1,21.6,0.421,0.515,0.339,0.878,0.564,0.511,G
399,Quincy Pondexter,3.7,9.2,8.1,1.1,0.7,11.2,14.1,24-30,225,34,3.7,8.8,2.1,4.4,1.6,4.5,1.9,2.4,1.2,2.9,4.0,2.0,0.7,0.3,1.3,3.0,10.9,0.418,0.474,0.364,0.777,0.55,0.51,G-F
400,Aleksej Pokusevski,5.0,18.9,14.4,1.3,3.7,16.8,19.8,19-21,140,65,5.2,13.2,3.3,7.2,1.8,6.0,1.0,1.5,1.8,6.4,8.2,3.5,0.9,1.5,2.8,2.4,13.2,0.389,0.463,0.301,0.693,0.474,0.458,F
402,Jakob Poeltl,13.2,20.3,11.0,1.3,5.0,14.5,15.3,21-27,488,235,6.1,9.7,6.1,9.6,0.0,0.0,1.6,3.0,4.4,6.7,11.1,2.8,1.0,2.1,1.9,4.0,13.7,0.628,0.628,0.5,0.536,0.626,0.628,C
403,Miles Plumlee,10.8,20.1,4.7,1.4,3.6,16.6,14.4,24-30,346,168,4.8,8.8,4.8,8.8,0.0,0.0,1.3,2.4,3.5,6.5,9.9,1.1,1.0,1.6,2.0,3.4,10.8,0.542,0.542,0.0,0.543,0.55,0.542,C-F
404,Mason Plumlee,10.4,23.0,16.1,1.6,3.2,17.4,16.5,23-32,740,446,5.4,9.0,5.4,8.9,0.0,0.1,2.8,5.0,3.4,7.5,10.9,4.0,1.2,1.4,2.4,4.4,13.6,0.595,0.601,0.049,0.567,0.605,0.595,C-F
409,Theo Pinson,2.6,15.4,18.2,1.5,0.6,15.0,18.3,23-27,127,1,3.9,12.1,1.9,4.6,2.0,7.5,1.8,2.0,0.9,5.1,6.0,4.7,1.1,0.2,2.3,3.3,11.5,0.32,0.416,0.261,0.902,0.444,0.401,G
411,Paul Pierce,1.9,17.3,16.0,1.6,1.1,13.6,22.5,35-39,318,263,5.6,13.0,3.5,7.4,2.1,5.6,3.6,4.5,0.6,5.5,6.1,3.4,1.1,0.5,2.4,3.2,16.9,0.431,0.481,0.366,0.799,0.564,0.511,F-G
417,Kendrick Perkins,7.4,20.2,7.5,1.0,2.7,26.8,11.5,28-33,246,148,2.8,6.0,2.8,6.0,0.0,0.0,1.0,1.8,2.3,6.7,9.0,1.9,0.7,1.2,2.5,4.7,6.5,0.46,0.462,0.0,0.542,0.479,0.46,C
419,Nikola Peković,12.6,18.5,5.4,1.0,1.4,9.9,22.6,27-30,159,148,7.2,14.3,7.2,14.3,0.0,0.0,4.3,5.7,4.2,5.8,9.9,1.1,0.7,0.7,1.8,2.8,18.8,0.507,0.507,0.0,0.763,0.56,0.507,C
420,Gary Payton II,6.3,14.7,10.6,3.4,1.6,12.2,13.9,24-30,164,40,5.3,9.6,4.1,6.2,1.2,3.4,0.8,1.4,2.1,4.9,6.9,2.7,2.5,0.6,1.4,4.1,12.5,0.548,0.664,0.341,0.593,0.613,0.609,G
421,Elfrid Payton,4.2,12.2,32.5,2.2,0.9,17.4,20.4,20-27,500,395,5.6,12.6,5.1,10.8,0.5,1.8,1.8,2.9,1.4,4.0,5.4,7.7,1.6,0.4,2.9,2.7,13.5,0.447,0.474,0.287,0.623,0.49,0.467,G
422,Cameron Payne,1.8,11.5,27.1,1.8,1.0,13.8,21.4,21-28,327,56,6.1,14.6,4.0,8.7,2.1,5.8,1.5,1.8,0.6,3.8,4.4,6.8,1.3,0.4,2.5,3.4,15.9,0.42,0.458,0.363,0.816,0.515,0.493,G
423,Adreian Payne,6.4,19.6,7.3,1.6,1.6,16.0,17.8,23-26,107,24,4.5,11.0,4.1,9.5,0.4,1.5,1.7,2.5,2.0,6.1,8.1,1.7,1.2,0.7,2.3,5.2,11.0,0.406,0.43,0.254,0.68,0.455,0.423,F-C
425,Chris Paul,1.9,13.4,44.0,2.9,0.6,13.7,23.1,27-37,729,729,6.8,14.3,5.0,9.5,1.8,4.8,3.8,4.3,0.6,4.4,5.0,10.2,2.1,0.2,2.6,2.6,19.1,0.472,0.522,0.372,0.885,0.589,0.534,G
428,Patrick Patterson,5.6,15.2,7.6,1.3,1.5,9.3,14.0,23-31,603,97,4.3,9.8,2.5,4.9,1.8,4.9,1.0,1.3,1.8,4.8,6.6,1.8,0.9,0.6,1.1,2.7,11.4,0.439,0.509,0.37,0.766,0.55,0.532,F
431,Eric Paschall,4.9,13.0,11.0,0.8,0.7,10.9,21.0,23-25,158,31,6.8,13.7,5.7,10.3,1.1,3.4,3.5,4.6,1.6,4.3,5.9,2.5,0.6,0.3,1.9,2.8,18.1,0.494,0.55,0.326,0.758,0.577,0.535,F
432,Chandler Parsons,2.6,13.6,15.0,1.5,0.9,11.5,19.4,24-31,377,312,5.9,12.8,3.9,7.5,2.0,5.2,1.8,2.5,0.8,4.4,5.3,3.4,1.1,0.4,1.8,2.3,15.6,0.463,0.523,0.376,0.729,0.563,0.54,F
433,Tony Parker,1.0,8.0,31.7,1.2,0.3,13.3,24.0,30-36,448,358,7.3,14.9,6.8,13.5,0.5,1.4,3.0,3.8,0.3,2.6,2.9,7.0,0.8,0.1,2.5,1.8,18.0,0.49,0.503,0.359,0.787,0.545,0.506,G
434,Jabari Parker,6.0,16.5,11.8,1.6,1.2,11.9,23.3,19-26,310,190,7.5,15.1,6.6,12.4,0.9,2.7,2.7,3.6,1.9,5.3,7.2,2.6,1.1,0.5,2.3,2.6,18.5,0.494,0.531,0.326,0.743,0.554,0.523,F
443,Zaza Pachulia,12.7,21.7,13.5,1.9,1.2,18.4,16.5,28-34,461,302,4.3,9.1,4.3,9.0,0.0,0.1,3.1,3.9,4.0,7.1,11.1,3.3,1.4,0.5,2.4,4.0,11.7,0.476,0.479,0.0,0.787,0.542,0.476,C
445,Travis Outlaw,3.9,13.4,7.2,1.0,1.4,7.6,17.4,28-29,101,6,4.9,12.0,3.6,8.0,1.3,4.0,1.9,2.5,1.3,4.2,5.5,1.6,0.7,0.6,1.1,3.1,13.0,0.406,0.443,0.329,0.769,0.495,0.46,F
446,Kelly Oubre Jr.,4.1,14.7,5.9,1.8,1.6,8.3,21.4,20-27,527,202,6.4,14.8,4.3,8.3,2.1,6.5,2.9,3.8,1.3,4.8,6.1,1.4,1.4,0.7,1.5,3.6,17.8,0.434,0.516,0.33,0.751,0.542,0.506,F
448,Cedi Osman,2.2,12.4,12.7,1.4,0.6,10.8,18.6,22-27,404,183,5.4,12.5,3.0,5.8,2.4,6.7,1.8,2.5,0.7,3.9,4.6,3.1,1.0,0.2,1.6,3.0,14.9,0.427,0.512,0.353,0.715,0.545,0.521,F
454,Kelly Olynyk,5.7,19.4,15.0,1.7,1.8,15.3,19.7,22-31,678,234,5.9,12.3,3.9,7.0,1.9,5.3,2.7,3.4,1.9,6.3,8.2,3.5,1.2,0.8,2.5,4.5,16.4,0.478,0.561,0.368,0.794,0.595,0.557,C-F
456,Victor Oladipo,2.0,13.6,19.6,2.5,1.2,13.7,25.2,21-30,504,397,6.9,15.8,5.1,10.6,1.8,5.2,3.2,4.1,0.6,4.3,5.0,4.4,1.8,0.5,2.8,2.7,18.8,0.436,0.48,0.347,0.788,0.534,0.493,G
457,KZ Okpala,4.8,12.6,6.5,1.2,2.7,11.1,11.6,20-23,98,12,3.2,7.8,2.1,4.1,1.0,3.7,0.9,1.3,1.5,4.0,5.5,1.8,0.9,1.0,1.0,4.7,8.3,0.409,0.518,0.286,0.667,0.496,0.476,F
458,Isaac Okoro,3.7,7.9,8.1,1.5,1.2,10.9,13.0,20-22,210,174,3.8,8.3,2.7,5.0,1.1,3.4,1.9,2.6,1.2,2.5,3.7,2.1,1.1,0.5,1.2,3.1,10.7,0.459,0.546,0.33,0.749,0.565,0.526,G-F
459,Onyeka Okongwu,12.5,20.0,6.1,1.5,5.1,13.0,14.7,20-22,178,28,6.0,9.1,5.9,9.0,0.0,0.2,2.8,3.8,4.1,6.6,10.7,1.6,1.2,2.1,1.6,5.2,14.8,0.653,0.66,0.25,0.741,0.684,0.655,F
460,Josh Okogie,5.4,11.0,8.1,2.2,1.8,12.3,14.9,20-24,316,149,3.8,9.5,2.6,5.4,1.2,4.1,3.0,4.0,1.9,3.6,5.4,2.2,1.7,0.8,1.6,3.4,11.8,0.4,0.483,0.291,0.749,0.523,0.463,G
461,Elie Okobo,1.8,10.7,19.8,1.6,0.6,17.0,16.1,21-22,108,19,4.0,10.1,2.6,5.8,1.4,4.4,1.9,2.5,0.6,3.4,4.0,5.2,1.2,0.2,2.3,3.5,11.2,0.395,0.455,0.315,0.737,0.5,0.463,G
462,Chuma Okeke,3.6,16.1,11.0,2.3,2.0,9.4,15.1,22-24,142,47,4.2,10.8,2.1,4.5,2.0,6.3,1.1,1.3,1.2,5.4,6.6,2.7,1.7,0.8,1.2,1.9,11.5,0.386,0.475,0.323,0.802,0.503,0.48,F
463,Jahlil Okafor,8.3,17.8,8.1,0.7,3.2,13.3,23.2,20-25,247,116,8.1,15.0,8.1,14.8,0.0,0.2,2.8,4.1,2.8,5.9,8.7,1.7,0.5,1.5,2.6,3.8,19.1,0.542,0.546,0.222,0.676,0.568,0.543,C-F
464,Emeka Okafor,11.3,26.1,7.2,1.1,3.4,12.1,18.8,30-35,105,96,5.6,11.7,5.6,11.7,0.0,0.0,1.9,3.2,3.7,8.5,12.2,1.5,0.8,1.5,1.8,2.6,13.2,0.481,0.481,0.0,0.596,0.502,0.481,C-F
465,Semi Ojeleye,3.9,12.3,4.0,0.9,0.4,9.0,10.9,23-27,284,24,2.9,7.5,1.2,2.7,1.7,4.8,1.1,1.5,1.3,4.1,5.4,1.1,0.7,0.2,0.8,2.6,8.5,0.384,0.454,0.344,0.717,0.52,0.494,F
470,Kyle O'Quinn,10.3,25.4,14.8,1.4,5.5,16.5,18.4,22-29,472,65,5.8,11.3,5.7,10.5,0.2,0.8,2.0,2.7,3.4,8.2,11.6,3.4,1.0,2.4,2.5,5.1,13.8,0.517,0.539,0.218,0.74,0.554,0.524,F-C
471,Royce O'Neale,2.7,16.7,11.7,1.5,1.3,15.2,11.1,24-29,446,283,3.2,7.3,1.4,2.7,1.8,4.7,0.8,1.0,0.8,5.6,6.5,3.2,1.1,0.6,1.4,3.3,8.9,0.433,0.518,0.384,0.782,0.574,0.554,F
472,Jermaine O'Neal,9.7,21.6,5.6,0.9,4.6,14.7,19.7,34-35,99,17,5.7,11.7,5.7,11.7,0.0,0.0,3.7,4.7,3.1,6.9,10.1,1.3,0.6,2.2,2.4,4.3,15.1,0.491,0.491,0.0,0.789,0.552,0.491,C-F
473,Johnny O'Bryant,8.7,14.9,6.2,1.0,1.0,11.8,17.2,21-24,147,19,4.6,11.3,4.2,10.3,0.4,1.1,1.4,2.1,2.8,4.8,7.5,1.5,0.7,0.4,1.6,4.3,10.9,0.402,0.406,0.36,0.663,0.444,0.419,F-C
475,Jordan Nwora,4.0,16.3,8.2,1.2,1.3,11.7,20.1,22-24,154,29,6.0,14.2,3.4,7.4,2.6,6.8,1.7,2.1,1.3,5.6,6.9,2.1,0.9,0.5,2.0,2.4,16.3,0.424,0.459,0.386,0.799,0.541,0.517,F
476,David Nwaba,5.4,15.4,7.9,1.9,2.0,10.1,15.1,24-29,237,50,4.7,9.7,4.1,7.5,0.7,2.1,2.6,3.8,1.9,4.9,6.8,1.9,1.4,0.8,1.3,3.5,12.7,0.49,0.538,0.32,0.673,0.561,0.525,G
477,Jusuf Nurkić,11.3,27.7,14.9,1.8,3.9,15.9,24.0,20-28,463,382,7.2,14.4,7.0,13.6,0.2,0.8,3.6,5.4,3.7,9.1,12.8,3.4,1.3,1.7,3.2,4.7,18.3,0.502,0.515,0.292,0.671,0.546,0.51,C
479,Kendrick Nunn,1.4,9.8,16.0,1.5,0.8,11.0,22.8,24-27,193,113,7.2,15.9,4.5,8.6,2.7,7.3,1.4,1.6,0.4,3.2,3.7,3.6,1.1,0.3,2.0,2.6,18.4,0.451,0.527,0.362,0.876,0.553,0.534,G
480,Frank Ntilikina,1.9,9.4,17.8,1.9,1.1,16.6,16.0,19-24,316,65,3.8,10.3,2.5,6.1,1.4,4.2,1.2,1.6,0.6,3.1,3.7,4.6,1.4,0.4,2.2,4.0,10.2,0.371,0.404,0.323,0.76,0.463,0.437,G
481,Dirk Nowitzki,1.9,21.9,11.3,1.1,1.7,6.7,24.6,34-40,467,430,7.6,16.5,5.6,11.4,1.9,5.1,3.4,3.9,0.6,7.0,7.6,2.4,0.8,0.7,1.3,2.5,20.5,0.457,0.491,0.382,0.883,0.562,0.516,F
482,Jaylen Nowell,2.8,11.3,16.5,1.4,0.8,7.9,22.5,20-23,184,3,7.3,16.4,5.2,9.8,2.1,6.5,2.4,3.0,0.9,3.7,4.6,3.9,1.1,0.3,1.5,2.9,19.1,0.447,0.529,0.322,0.798,0.541,0.511,G
483,Steve Novak,1.3,10.4,3.7,0.9,0.5,3.3,13.2,29-33,188,2,4.0,9.7,0.6,1.7,3.4,8.0,0.5,0.6,0.4,3.1,3.5,0.9,0.6,0.2,0.3,2.5,11.9,0.411,0.365,0.421,0.881,0.596,0.584,F
485,Lucas Nogueira,7.8,17.1,5.8,2.6,6.9,18.2,10.5,22-25,141,10,3.7,5.9,3.6,5.2,0.2,0.7,1.5,2.3,2.5,5.5,8.0,1.5,1.8,3.0,1.5,4.5,9.2,0.632,0.681,0.265,0.64,0.659,0.648,C
486,Nerlens Noel,9.3,21.0,7.8,2.8,5.7,16.9,14.9,20-28,467,223,4.8,8.8,4.8,8.8,0.0,0.1,2.0,3.1,3.1,6.8,9.9,1.8,2.1,2.4,2.1,4.2,11.7,0.546,0.548,0.2,0.655,0.573,0.547,C-F
487,Joakim Noah,12.4,24.2,21.6,1.6,3.5,18.8,16.4,27-34,342,260,4.2,9.0,4.2,8.9,0.0,0.0,2.5,3.7,4.0,7.9,11.9,4.9,1.1,1.6,2.5,3.5,10.9,0.471,0.474,0.0,0.679,0.517,0.471,C
488,Zeke Nnaji,8.6,13.0,3.3,1.1,2.0,10.0,14.6,20-22,136,7,5.1,9.6,3.5,5.6,1.5,4.0,1.8,2.8,2.7,4.2,6.9,0.9,0.8,0.8,1.2,4.2,13.5,0.527,0.631,0.382,0.655,0.623,0.607,F
490,Andrew Nicholson,5.2,18.5,5.1,0.9,1.9,11.5,20.3,23-27,285,36,6.2,13.4,5.5,11.0,0.8,2.4,1.7,2.3,1.7,5.9,7.6,1.1,0.7,0.8,1.9,4.0,15.0,0.467,0.498,0.321,0.773,0.522,0.495,F
491,Georges Niang,2.0,12.8,8.0,1.0,0.7,9.7,17.2,23-29,383,19,5.3,12.2,1.9,3.7,3.4,8.5,0.9,1.1,0.6,4.2,4.9,2.0,0.7,0.3,1.4,3.6,15.0,0.438,0.519,0.403,0.872,0.594,0.579,F
493,Raul Neto,1.6,9.2,19.7,2.0,0.4,15.2,17.1,23-30,435,99,5.0,10.9,3.6,7.1,1.4,3.8,1.8,2.2,0.5,3.0,3.5,4.9,1.5,0.2,2.1,3.0,13.1,0.458,0.51,0.361,0.812,0.555,0.521,G
494,Aaron Nesmith,3.8,14.0,6.4,1.4,1.4,11.1,16.2,21-23,171,64,4.7,11.2,2.5,4.9,2.2,6.3,1.9,2.3,1.2,4.6,5.8,1.7,1.1,0.6,1.5,4.6,13.6,0.423,0.523,0.346,0.827,0.556,0.521,G-F
497,Jameer Nelson,1.7,9.8,29.6,1.4,0.3,17.1,18.5,30-35,351,207,4.8,11.9,2.8,6.1,2.0,5.8,1.1,1.4,0.5,3.2,3.7,7.1,1.0,0.1,2.6,3.1,12.7,0.402,0.454,0.347,0.815,0.507,0.486,G
499,Gary Neal,1.2,9.8,12.9,1.0,0.1,9.9,22.5,28-32,216,23,6.1,14.8,4.1,9.4,1.9,5.4,2.5,2.9,0.4,3.1,3.5,2.8,0.7,0.0,1.8,2.4,16.6,0.409,0.439,0.356,0.874,0.515,0.474,G
502,Shabazz Napier,1.9,10.2,21.0,2.3,0.7,16.5,19.8,23-28,345,56,4.9,12.2,2.8,6.2,2.1,6.0,2.8,3.5,0.6,3.3,4.0,5.1,1.7,0.3,2.7,2.4,14.6,0.397,0.448,0.345,0.815,0.532,0.482,G
503,Larry Nance Jr.,8.8,21.1,11.7,2.4,1.9,12.4,14.0,23-30,461,135,5.0,9.3,4.4,7.5,0.6,1.8,1.5,2.2,2.9,6.7,9.7,2.9,1.8,0.8,1.4,3.4,12.0,0.537,0.586,0.333,0.689,0.589,0.569,F-C
504,Abdel Nader,2.2,13.5,6.0,1.4,1.8,13.4,16.7,24-28,202,8,4.6,10.8,2.9,6.0,1.7,4.9,1.9,2.6,0.7,4.5,5.2,1.5,1.1,0.8,1.9,3.4,12.9,0.428,0.486,0.357,0.718,0.538,0.508,F
506,Svi Mykhailiuk,2.1,9.5,12.2,1.7,0.5,12.7,18.1,21-25,252,54,5.0,12.5,2.2,4.6,2.8,7.9,1.4,1.8,0.7,3.1,3.8,3.0,1.3,0.2,1.9,2.2,14.3,0.403,0.477,0.36,0.764,0.539,0.517,G-F
507,Mike Muscala,5.6,16.7,8.3,1.1,2.6,9.8,16.2,22-31,495,39,5.1,11.2,2.8,5.1,2.3,6.1,1.8,2.1,1.8,5.6,7.4,2.0,0.8,1.1,1.3,3.4,14.4,0.457,0.549,0.379,0.838,0.59,0.56,F-C
511,Jamal Murray,2.9,10.6,20.6,1.5,0.9,11.7,24.2,19-25,410,336,7.3,16.4,4.9,9.9,2.4,6.5,2.9,3.3,0.9,3.4,4.4,5.0,1.1,0.4,2.4,2.2,20.0,0.447,0.496,0.373,0.87,0.56,0.522,G
512,Dejounte Murray,3.7,19.2,27.2,2.5,0.8,12.5,23.7,20-26,394,323,7.4,16.1,6.2,12.7,1.2,3.4,2.2,2.8,1.2,6.4,7.6,6.5,1.9,0.3,2.5,2.3,18.1,0.458,0.491,0.335,0.784,0.522,0.493,G
514,Trey Murphy III,3.6,11.0,6.4,1.6,1.4,6.1,16.3,21-22,141,66,5.4,11.7,2.4,4.3,3.0,7.4,2.4,2.6,1.2,3.5,4.7,1.6,1.2,0.5,0.8,2.3,16.1,0.461,0.566,0.4,0.9,0.626,0.587,F
518,Byron Mullens,5.7,21.1,9.1,1.4,1.9,11.5,21.5,23-24,98,41,5.7,14.2,3.7,8.4,1.9,5.8,1.4,2.3,1.9,6.5,8.4,1.9,1.0,0.8,2.0,3.4,14.7,0.398,0.443,0.333,0.622,0.482,0.466,C-F
519,Mychal Mulder,1.1,8.3,4.6,0.7,1.1,6.4,16.1,25-27,84,12,5.0,12.2,1.5,2.7,3.5,9.5,0.8,1.1,0.4,2.8,3.2,1.2,0.5,0.4,0.9,2.7,14.4,0.413,0.573,0.369,0.711,0.567,0.557,G-F
520,Shabazz Muhammad,7.0,11.6,5.5,0.9,0.4,7.4,22.9,21-25,278,16,7.1,15.0,6.2,12.1,0.9,2.9,3.8,5.0,2.2,3.6,5.8,1.1,0.6,0.2,1.4,2.1,18.9,0.473,0.51,0.319,0.751,0.549,0.504,F-G
521,Emmanuel Mudiay,2.1,11.4,24.8,1.5,1.0,16.5,24.4,19-25,302,165,6.1,15.3,4.7,11.0,1.4,4.3,2.9,3.9,0.7,3.7,4.4,5.7,1.1,0.4,3.4,2.5,16.5,0.401,0.431,0.323,0.744,0.486,0.446,G
522,Timofey Mozgov,10.6,20.0,4.8,0.8,3.5,16.1,17.1,26-31,365,224,5.5,10.2,5.5,9.9,0.1,0.3,2.7,3.6,3.5,6.5,9.9,1.1,0.6,1.6,2.3,4.3,13.8,0.539,0.55,0.19,0.745,0.583,0.542,C
525,Donatas Motiejūnas,7.3,15.6,9.6,1.3,1.4,14.1,19.3,22-28,251,101,5.8,12.3,4.8,9.1,1.0,3.2,2.0,3.3,2.3,5.2,7.5,2.1,0.9,0.6,2.3,4.2,14.4,0.469,0.529,0.3,0.597,0.526,0.508,F-C
526,Anthony Morrow,2.2,7.4,5.4,1.5,0.5,5.7,17.6,27-31,308,23,5.6,12.8,3.1,6.6,2.5,6.2,1.6,1.9,0.7,2.4,3.1,1.2,1.0,0.2,0.8,2.7,15.4,0.44,0.473,0.406,0.854,0.564,0.538,G
527,Monte Morris,1.6,9.2,22.0,1.5,0.6,8.2,16.9,22-27,342,166,5.8,12.1,4.1,7.8,1.7,4.3,1.4,1.7,0.5,3.0,3.6,5.6,1.1,0.3,1.1,1.6,14.7,0.481,0.53,0.392,0.83,0.573,0.55,G
528,Markieff Morris,5.4,17.9,10.4,1.6,1.6,12.8,21.0,23-33,687,371,6.2,13.8,4.9,10.1,1.3,3.7,2.4,3.0,1.7,5.8,7.5,2.4,1.2,0.7,2.2,3.9,16.0,0.449,0.488,0.342,0.783,0.53,0.495,F
